Entity,Code,Year,Penn World Table 9.0 (Real GDP at chained PPPs in 2011US$) (US$ (PPP-adjusted; real 2011)),CO₂ emissions per capita (tonnes) (tonnes per year),Total population (Gapminder)
Sri Lanka,LKA,1933,,,5825000
Sri Lanka,LKA,1934,,,5872000
Sri Lanka,LKA,1935,,,5897000
Sri Lanka,LKA,1936,,,5943000
Sri Lanka,LKA,1937,,,5989000
Sri Lanka,LKA,1938,,,6045000
Sri Lanka,LKA,1939,,,6095000
Sri Lanka,LKA,1940,,,6134000
Sri Lanka,LKA,1941,,,6169000
Sri Lanka,LKA,1942,,,6191000
Sri Lanka,LKA,1943,,,6296000
Sri Lanka,LKA,1944,,,6442000
Sri Lanka,LKA,1945,,,6650000
Sri Lanka,LKA,1946,,,6854000
Sri Lanka,LKA,1947,,,7037000
Sri Lanka,LKA,1948,,,7244000
Sri Lanka,LKA,1949,,,7455000
Sri Lanka,LKA,1950,2764.760742,0.1835,8240623
Sri Lanka,LKA,1951,2883.882568,0.1835,8362125
Sri Lanka,LKA,1952,2489.406982,0.2202,8495641
Sri Lanka,LKA,1953,2527.029053,0.2569,8642543
Sri Lanka,LKA,1954,2793.664063,0.2202,8803521
Sri Lanka,LKA,1955,2949.455322,0.1835,8978595
Sri Lanka,LKA,1956,2620.861084,0.1468,9167067
Sri Lanka,LKA,1957,2538.970703,0.2569,9367565
Sri Lanka,LKA,1958,2615.57959,0.2202,9578146
Sri Lanka,LKA,1959,2678.318848,0.2202,9796484
