Entity,Code,Year,International migrant stock (share of population) – World Bank
Afghanistan,AFG,1960,0.516609999
Afghanistan,AFG,1965,0.498572875
Afghanistan,AFG,1970,0.477030279
Afghanistan,AFG,1975,0.45333552
Afghanistan,AFG,1980,0.446742559
Afghanistan,AFG,1985,0.482507284
Afghanistan,AFG,1990,0.478024988
Afghanistan,AFG,1995,0.418571518
Afghanistan,AFG,2000,0.385327536
Afghanistan,AFG,2005,0.354308132
Afghanistan,AFG,2010,0.32502084
Albania,ALB,1960,3.039594729
Albania,ALB,1965,2.756823687
Albania,ALB,1970,2.53081393
Albania,ALB,1975,2.362577661
Albania,ALB,1980,2.235406701
Albania,ALB,1985,2.117977767
Albania,ALB,1990,2.008585316
Albania,ALB,1995,2.232083479
Albania,ALB,2000,2.482820642
Albania,ALB,2005,2.745089054
Albania,ALB,2010,3.05888629
Algeria,DZA,1960,3.869224079
Algeria,DZA,1965,1.649637882
Algeria,DZA,1970,1.161158878
Algeria,DZA,1975,0.959279789
Algeria,DZA,1980,0.95665348
Algeria,DZA,1985,1.279208441
Algeria,DZA,1990,1.057232756
Algeria,DZA,1995,1.03401224
Algeria,DZA,2000,0.802054717
Algeria,DZA,2005,0.728768857
Algeria,DZA,2010,0.672446805
American Samoa,ASM,1960,11.91285229
American Samoa,ASM,1965,17.73109958
American Samoa,ASM,1970,26.55723289
American Samoa,ASM,1975,36.22544434
American Samoa,ASM,1980,41.88439734
American Samoa,ASM,1985,43.50141412
American Samoa,ASM,1990,45.2406258
American Samoa,ASM,1995,43.54881416
American Samoa,ASM,2000,43.30864713
American Samoa,ASM,2005,44.97014395
American Samoa,ASM,2010,50.99216335
Andorra,AND,1960,18.61487998
Andorra,AND,1965,37.64217562
Andorra,AND,1970,55.38119362
Andorra,AND,1975,60.64938449
Andorra,AND,1980,71.51928569
Andorra,AND,1985,72.43985021
Andorra,AND,1990,71.36908147
Andorra,AND,1995,69.22823942
Andorra,AND,2000,64.44441046
Andorra,AND,2005,61.93196508
Andorra,AND,2010,66.15453867
Angola,AGO,1960,2.316308356
Angola,AGO,1965,1.336941297
Angola,AGO,1970,0.772214559
Angola,AGO,1975,0.432187372
Angola,AGO,1980,1.094636475
Angola,AGO,1985,1.117000159
Angola,AGO,1990,0.301198702
Angola,AGO,1995,0.287533239
Angola,AGO,2000,0.30618971
Angola,AGO,2005,0.312930171
Angola,AGO,2010,0.308139217
Antigua and Barbuda,ATG,1960,8.902543845
Antigua and Barbuda,ATG,1965,9.734631955
Antigua and Barbuda,ATG,1970,10.57687895
Antigua and Barbuda,ATG,1975,11.46665126
Antigua and Barbuda,ATG,1980,12.97278844
Antigua and Barbuda,ATG,1985,15.93149185
Antigua and Barbuda,ATG,1990,19.43107292
Antigua and Barbuda,ATG,1995,20.2124391
Antigua and Barbuda,ATG,2000,20.43323717
Antigua and Barbuda,ATG,2005,22.06988433
Antigua and Barbuda,ATG,2010,23.99092087
Arab World,,1960,2.990637128
Arab World,,1965,2.580478677
Arab World,,1970,2.749819121
Arab World,,1975,3.421620298
Arab World,,1980,5.447801743
Arab World,,1985,6.063913026
Arab World,,1990,6.839002963
Arab World,,1995,6.195169352
Arab World,,2000,6.30269409
Arab World,,2005,6.786965091
Arab World,,2010,7.282207583
Argentina,ARG,1960,12.61544468
Argentina,ARG,1965,10.81156461
Argentina,ARG,1970,9.257937096
Argentina,ARG,1975,7.918828326
Argentina,ARG,1980,6.834147819
Argentina,ARG,1985,5.858882592
Argentina,ARG,1990,5.041039128
Argentina,ARG,1995,4.5372432
Argentina,ARG,2000,4.156300218
Argentina,ARG,2005,3.816695006
Argentina,ARG,2010,3.515749447
Armenia,ARM,1990,18.58520973
Armenia,ARM,1995,21.14552958
Armenia,ARM,2000,18.66764323
Armenia,ARM,2005,16.3377632
Armenia,ARM,2010,10.93924203
Aruba,ABW,1960,14.56058146
Aruba,ABW,1965,13.38389121
Aruba,ABW,1970,12.64031152
Aruba,ABW,1975,11.9726321
Aruba,ABW,1980,11.75286209
Aruba,ABW,1985,15.64384083
Aruba,ABW,1990,23.24129497
Aruba,ABW,1995,25.78866121
Aruba,ABW,2000,32.46274406
Aruba,ABW,2005,33.41164239
Aruba,ABW,2010,33.7293424
Australia,AUS,1960,16.52399942
Australia,AUS,1965,18.04291359
