,feature,importance
0,gross_capital_formation_normalized,0.09023144225001196
1,imports_of_goods_and_services_percentage_of_gdp_normalized,0.0616950559624422
2,infant_mortality_per_1000_normalized,0.05214976482814146
3,historical_gov_spending_gdp_normalized,0.05068898379489956
4,fertility_rate_normalized,0.04849146185915314
5,trade_as_share_of_gdp_normalized,0.04506955439025471
6,surface_area_sq_km,0.04429630347016541
7,pupil-teacher_ratio_processed,0.04143459447878131
8,life_expectancy_male_normalized,0.03987039578003724
9,deaths_per_1000_normalized,0.035054550519282114
10,ages_65_and_older_percentage_normalized,0.03499294018590863
11,daily_per_capita_supply_of_calories_normalized,0.034905315073878264
12,births_per_1000_normalized,0.03473199485594794
13,population_estimates_and_projections_normalized,0.03372631814558791
14,life_expectancy_normalized,0.032054227817191444
15,age_dependency_ratio_normalized.1,0.03186964617976846
16,age_dependency_ratio_normalized,0.03181144885866029
17,exports_of_goods_and_services_percentage_of_gdp_normalized,0.03020576525813462
18,annual_co_emissions_per_country_normalized,0.026115073416072207
19,life_expectancy_female_normalized,0.02586679373407488
20,primary_enrollment_selected_countries_normalized,0.02513751585372449
21,daily_per_capita_fat_supply_normalized,0.02218129042463817
22,daily_per_capita_protein_supply_normalized,0.019363121166623646
23,democracy_scores_normalized,0.019267419222370963
24,co_emissions_per_capita_international_normalized,0.01762271186167971
25,military_expenditure_as_share_of_gdp_normalized,0.01558959787843927
26,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,0.01313626895709017
27,food_excl_fish-import_value_base_period_price_normalized,0.011424469803653126
28,agricultproductstotal-import_value_base_period_price_normalized,0.009516999224615352
29,agricultproductstotal-export_value_base_price_normalized,0.008526658238330922
30,rural_population_percentage_normalized,0.006495543243546997
31,food_excl_fish-export_value_base_price_normalized,0.006476773266893432
