,feature,importance,corr_to_growth,feature_name
0,gross_capital_formation_normalized,0.12618351619095908,0.41875096778806886,Capital Formation
1,imports_of_goods_and_services_percentage_of_gdp_normalized,0.061386643524503876,0.2963411174457029,Imports
2,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,0.044494034462575716,-0.024598255653855556,Immigration
3,pupil-teacher_ratio_processed,0.043887116042717736,0.023649276178226965,Pupil/Teacher Ratio
4,infant_mortality_per_1000_normalized,0.04374502668459454,-0.014458784105519065,Infant Mortality
5,trade_as_share_of_gdp_normalized,0.04307113856670704,0.22396889878917617,Foreign Trade
6,rural_population_percentage_normalized,0.04027827329073504,-0.03163607013385815,Rural Population
7,fertility_rate_normalized,0.03926541981007428,-0.10646426043262387,Fertility Rate
8,life_expectancy_male_normalized,0.03852953140719225,0.08045646118339497,Life Expectancy / Male
9,life_expectancy_female_normalized,0.03774381229628498,0.08363190298108446,Life Expectancy / Female
10,ages_65_and_older_percentage_normalized,0.036529565069568816,0.06842174985325382,Ages 65 and Older
11,age_dependency_ratio_normalized,0.03584668783615813,-0.0783830954931829,Age Dependency Ratio
12,young_pregnancies_normalized,0.034646490728768416,-0.08763254280528349,Young Pregnancies
13,deaths_per_1000_normalized,0.03346620248753183,-0.10310433254326462,Deaths per 1000
14,population_estimates_and_projections_normalized,0.033264165054213965,0.023966897747989612,Population
15,life_expectancy_normalized,0.032337813909387954,0.08241423081868172,Life Expectancy
16,exports_of_goods_and_services_percentage_of_gdp_normalized,0.02780811565516265,0.1471728523132936,Exports
17,births_per_1000_normalized,0.02744809196366478,-0.10310433254326462,Births per 1000
18,democracy_scores_normalized,0.02227992167453602,-0.013879681915261665,Democracy Score
19,historical_gov_spending_gdp_normalized,0.0220858590348661,0.027082168255311595,Government Spending
20,surface_area_sq_km,0.02199154517116752,0.0026255100960016794,Surface Area
21,daily_per_capita_fat_supply_normalized,0.02106501543937549,0.08776684064821147,Per Capita Fat Supply
22,daily_per_capita_protein_supply_normalized,0.019879403178012137,0.12237411627728369,Per Capita Protein Supply
23,annual_co_emissions_per_country_normalized,0.019266250106848643,0.017380016183923666,CO^2 Emissions
24,military_expenditure_as_share_of_gdp_normalized,0.018039006702833458,0.023172214640578052,Military Expenditure
25,co_emissions_per_capita_international_normalized,0.017563987605931582,0.006651866190185512,CO^2 Emissions International
26,daily_per_capita_supply_of_calories_normalized,0.014833231685039675,0.08725838918594968,Per Capita Calorie Supply
27,food_excl_fish-import_value_base_period_price_normalized,0.012946042958643359,0.08099680524985098,Foor Imports
28,agricultproductstotal-import_value_base_period_price_normalized,0.011802958638023029,0.08423642013847757,Agricultural Products Imports
29,food_excl_fish-export_value_base_price_normalized,0.009173966200565532,0.015310119461100868,Food Exports
30,agricultproductstotal-export_value_base_price_normalized,0.009141166623356336,0.03716193754031707,Agricultural Products Exports
