,Congo
1961,-1.0
1962,-1.0
1963,-1.0
1964,-1.0
1965,-1.0
1966,-1.0
1967,-1.0
1968,-1.0
1969,-1.0
1970,-1.0
1971,-1.0
1972,-1.0
1973,-1.0
1974,-1.0
1975,-1.0
1976,-1.0
1977,-1.0
1978,-1.0
1979,-1.0
1980,-1.0
1981,-1.0
1982,-1.0
1983,-1.0
1984,-1.0
1985,-1.0
1986,-1.0
1987,-1.0
1988,-1.0
1989,-1.0
1990,100000.0
1991,100000.0
1992,100000.0
1993,100000.0
1994,100000.0
1995,100000.0
1996,100000.0
1997,100000.0
1998,100000.0
1999,100000.0
2000,100000.0
2001,100000.0
2002,100000.0
2003,101160.0
2004,100548.0
2005,100000.0
2006,101761.0
2007,102193.0
2008,103015.0
2009,103627.0
2010,104260.0
2011,110390.0
2012,105135.0
2013,104132.0
2014,104201.0
