,Ecuador,Estonia,Bolivia (Plurinational State of),Peru
1961,1945.0,-1,22000.0,28610.0
1962,2750.0,-1,22300.0,30040.0
1963,2586.0,-1,22600.0,29640.0
1964,4557.0,-1,18800.0,19390.0
1965,1180.0,-1,17000.0,19485.0
1966,1200.0,-1,16000.0,17835.0
1967,1100.0,-1,12330.0,18305.0
1968,1000.0,-1,14120.0,10060.0
1969,1000.0,-1,14150.0,16955.0
1970,1000.0,-1,12200.0,16370.0
1971,1000.0,-1,15000.0,15035.0
1972,1000.0,-1,15000.0,13020.0
1973,1000.0,-1,16000.0,13250.0
1974,1600.0,-1,16890.0,12980.0
1975,1800.0,-1,19240.0,13228.0
1976,2000.0,-1,20800.0,15065.0
1977,3000.0,-1,22400.0,19747.0
1978,3000.0,-1,17830.0,19439.0
1979,2700.0,-1,10455.0,17231.0
1980,1300.0,-1,15640.0,18634.0
1981,270.0,-1,23040.0,18384.0
1982,27.0,-1,24930.0,21652.0
1983,40.0,-1,43086.0,14363.0
1984,54.0,-1,33382.0,18349.0
1985,69.0,-1,47939.0,11860.0
1986,177.0,-1,42850.0,13524.0
1987,361.0,-1,47330.0,13112.0
1988,1230.0,-1,50000.0,18475.0
1989,870.0,-1,42640.0,15241.0
1990,889.0,-1,38615.0,8081.0
1991,1070.0,-1,38791.0,21007.0
1992,2030.0,-1,38700.0,7874.0
1993,1000.0,-1,38518.0,17812.0
1994,700.0,-1,38196.0,20693.0
1995,800.0,-1,36790.0,18729.0
1996,1100.0,-1,37493.0,18704.0
1997,600.0,-1,38680.0,27033.0
1998,1800.0,-1,37714.0,30720.0
1999,1800.0,-1,35963.0,28979.0
2000,1300.0,-1,36847.0,28889.0
2001,650.0,-1,37223.0,25601.0
2002,600.0,-1,37817.0,27851.0
2003,1000.0,-1,38289.0,28326.0
2004,918.0,-1,38649.0,27676.0
2005,929.0,-1,39302.0,28632.0
2006,950.0,-1,42431.0,29947.0
2007,980.0,-1,45454.0,30381.0
2008,1000.0,-1,46369.0,31163.0
2009,1100.0,-1,59924.0,34026.0
2010,2034.0,-1,58496.0,35313.0
2011,2387.0,-1,63307.0,35475.0
2012,2705.0,-1,131192.0,38495.0
2013,2962.0,-1,147312.0,44868.0
2014,4122.0,-1,123080.0,68140.0
