,Slovakia,USSR,Japan,Poland,Turkey,Switzerland,Trinidad and Tobago,The former Yugoslav Republic of Macedonia,Georgia,Latvia,Azerbaijan,Kenya,France,Republic of Korea,Romania,Italy,Ukraine,Hungary,Russian Federation,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Slovenia,Albania,Peru,China,Portugal,Serbia and Montenegro,Greece,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Bosnia and Herzegovina,Bulgaria,Malawi
1961,,-1.0,11000.0,,48520.0,,,,,,,,-1.0,350.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,41000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1962,,-1.0,12300.0,,48660.0,,,,,,,,-1.0,350.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,48000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1963,,-1.0,16100.0,,48820.0,,,,,,,,-1.0,500.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,33000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1964,,-1.0,22600.0,,49000.0,,,,,,,,-1.0,600.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,41000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1965,,-1.0,27100.0,,50000.0,,,,,,,,-1.0,700.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,44000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1966,,-1.0,29800.0,,47000.0,,,,,,,,-1.0,800.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,50000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1967,,-1.0,33500.0,,47560.0,,,,,,,,-1.0,800.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,52000.0,,-1.0,2000.0,-1.0,,-1.0,,-1.0,
1968,,-1.0,36100.0,,37200.0,,,,,,,,-1.0,1200.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,54000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
1969,,-1.0,37700.0,,37400.0,,,,,,,,-1.0,1200.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,54000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
1970,,-1.0,39000.0,,39380.0,,,,,,,,-1.0,1500.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,54000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
