,"China, Taiwan Province of",Georgia,Mexico,Japan,Argentina,Jordan,Spain,China,Bulgaria,Egypt,Morocco
1961,45251.0,,,37000.0,23000.0,,2360.0,45251.0,-1.0,,
1962,55218.0,,,22000.0,24000.0,,4144.0,55218.0,-1.0,,
1963,29828.0,,,22000.0,25000.0,,3730.0,29828.0,-1.0,,
1964,3156.0,,,16000.0,26970.0,,5100.0,3156.0,-1.0,,
1965,74.0,,,11500.0,27860.0,,4465.0,74.0,-1.0,,
1966,1454.0,,,12400.0,29020.0,,4080.0,1454.0,-1.0,,
1967,1881.0,,,20900.0,25000.0,,2040.0,1881.0,-1.0,,
1968,644.0,,,20800.0,27000.0,,3085.0,644.0,-1.0,,
1969,1325.0,,,11900.0,21300.0,,3060.0,1325.0,-1.0,,
1970,2323.0,,,12000.0,21230.0,,8200.0,2323.0,-1.0,,
1971,8997.0,,,12000.0,20760.0,,11800.0,8997.0,-1.0,,
1972,11974.0,,,12000.0,18185.0,,6400.0,11974.0,-1.0,,
1973,7899.0,,,12000.0,20570.0,,8102.0,7899.0,-1.0,,
1974,18222.0,,,12000.0,12158.0,,11600.0,18222.0,-1.0,,
1975,20466.0,,,12000.0,13180.0,,11761.0,20466.0,-1.0,,
1976,9011.0,,,11000.0,12787.0,,11858.0,9011.0,-1.0,,
1977,5923.0,,,11000.0,23180.0,,6114.0,5923.0,-1.0,,
1978,3522.0,,,12000.0,12300.0,,10039.0,3522.0,-1.0,,
1979,1566.0,,,9000.0,13980.0,,6600.0,1566.0,-1.0,,
1980,664.0,,,7000.0,11100.0,,7070.0,664.0,-1.0,,
1981,188.0,,,7000.0,5400.0,,6946.0,188.0,-1.0,,
1982,164.0,,,5000.0,8900.0,148.0,8239.0,164.0,-1.0,,
1983,,,,3500.0,8500.0,125.0,7561.0,,-1.0,,
1984,,,,2800.0,8600.0,108.0,5706.0,,-1.0,,
1985,,,,2500.0,8500.0,120.0,10651.0,,-1.0,,
1986,,,,2100.0,8400.0,110.0,10377.0,,-1.0,,5000.0
1987,,,,1900.0,8300.0,120.0,7317.0,,-1.0,,10000.0
1988,,,,1700.0,8200.0,120.0,7822.0,,-1.0,,15000.0
1989,,,,1700.0,8100.0,120.0,4553.0,,-1.0,,23306.0
1990,0.0,,-1.0,1400.0,8000.0,-1.0,2324.0,0.0,-1.0,,16950.0
1991,0.0,,-1.0,1000.0,8000.0,-1.0,1045.0,0.0,-1.0,,12819.0
1992,0.0,100.0,-1.0,500.0,8000.0,-1.0,760.0,0.0,-1.0,,22000.0
1993,0.0,90.0,-1.0,200.0,8000.0,-1.0,754.0,0.0,-1.0,-1.0,30940.0
1994,0.0,85.0,-1.0,0.0,8000.0,-1.0,509.0,0.0,-1.0,-1.0,49065.0
1995,0.0,60.0,-1.0,0.0,8000.0,-1.0,622.0,0.0,-1.0,-1.0,49000.0
1996,0.0,50.0,-1.0,0.0,8000.0,-1.0,782.0,0.0,-1.0,-1.0,52000.0
1997,0.0,50.0,-1.0,0.0,8000.0,-1.0,650.0,0.0,-1.0,,48060.0
1998,0.0,40.0,-1.0,0.0,8000.0,-1.0,572.0,0.0,-1.0,,56800.0
1999,0.0,35.0,-1.0,0.0,7000.0,-1.0,530.0,0.0,-1.0,,80740.0
2000,0.0,30.0,-1.0,0.0,7000.0,-1.0,480.0,0.0,-1.0,,35590.0
2001,0.0,35.0,-1.0,0.0,7000.0,-1.0,440.0,0.0,-1.0,,53280.0
2002,0.0,30.0,-1.0,0.0,7100.0,-1.0,390.0,0.0,-1.0,,53320.0
2003,0.0,30.0,-1.0,0.0,7100.0,-1.0,340.0,0.0,-1.0,,107510.0
2004,0.0,30.0,-1.0,0.0,7100.0,-1.0,300.0,0.0,-1.0,,67700.0
2005,0.0,30.0,-1.0,0.0,7100.0,-1.0,260.0,0.0,-1.0,,61660.0
2006,0.0,30.0,-1.0,0.0,7100.0,-1.0,210.0,0.0,-1.0,,83945.0
2007,0.0,30.0,-1.0,0.0,7100.0,-1.0,170.0,0.0,-1.0,,66135.0
2008,0.0,30.0,-1.0,0.0,7100.0,-1.0,120.0,0.0,-1.0,,64605.0
2009,0.0,30.0,-1.0,0.0,7100.0,-1.0,100.0,0.0,189.0,,51990.0
2010,0.0,30.0,-1.0,0.0,7100.0,-1.0,90.0,0.0,1631.0,,71880.0
2011,0.0,30.0,-1.0,0.0,7100.0,-1.0,90.0,0.0,356.0,,55319.0
2012,0.0,29.0,-1.0,0.0,7100.0,-1.0,90.0,0.0,126.0,,99005.0
2013,0.0,27.0,-1.0,0.0,7071.0,-1.0,87.0,0.0,330.0,,87602.0
2014,0.0,28.0,-1.0,0.0,7021.0,-1.0,94.0,0.0,33.0,,85120.0
