,Bolivia (Plurinational State of),Peru,Spain,Belarus,Croatia,Serbia,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Iraq,Belgium,Greece,New Zealand,Yemen,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Kyrgyzstan,Cyprus,Argentina,Ukraine,Georgia,Israel,Austria,Morocco,Ethiopia PDR,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Latvia,Albania,Uruguay,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,Australia,Portugal,Egypt,Lithuania,"China, mainland",Russian Federation,Turkey,Republic of Moldova,Belgium-Luxembourg
1971,1080.0,8525.0,10076.0,-1.0,-1.0,-1.0,-1.0,702.0,13645.0,12909.0,-1.0,-1.0,418.0,-1.0,15128.0,200.0,-1.0,42510.0,784.0,17000.0,-1.0,-1.0,-1.0,-1.0,356.0,20300.0,-1.0,-1.0,1000.0,-1,600.0,-1.0,-1.0,21639.0,59000.0,22000.0,-1.0,9950.0,12.0,-1.0,-1.0,2600.0,-1.0,1000.0,6800.0,3699.0,-1.0,2170.0,-1.0,-1.0,6054.0,-1.0,1139.0,584.0,9040.0,-1.0,-1.0,-1.0,-1.0,34000.0,-1.0,150.0
1972,1140.0,8996.0,8455.0,-1.0,-1.0,-1.0,-1.0,710.0,16478.0,13323.0,-1.0,-1.0,600.0,-1.0,16343.0,91.0,-1.0,37822.0,586.0,17000.0,-1.0,-1.0,-1.0,-1.0,330.0,18600.0,-1.0,-1.0,1100.0,-1,800.0,-1.0,-1.0,19750.0,52000.0,18300.0,-1.0,8650.0,11.0,-1.0,-1.0,4100.0,-1.0,1000.0,6900.0,4336.0,-1.0,1960.0,-1.0,-1.0,5855.0,-1.0,1025.0,495.0,9870.0,-1.0,-1.0,-1.0,-1.0,39000.0,-1.0,150.0
1973,1200.0,8943.0,11121.0,-1.0,-1.0,-1.0,-1.0,755.0,11938.0,14664.0,-1.0,-1.0,750.0,-1.0,16167.0,91.0,-1.0,37262.0,527.0,18000.0,-1.0,-1.0,-1.0,-1.0,254.0,9200.0,-1.0,-1.0,1100.0,-1,1000.0,-1.0,-1.0,19992.0,65000.0,13000.0,-1.0,8080.0,8.0,-1.0,-1.0,5500.0,-1.0,1000.0,7000.0,4671.0,-1.0,3074.0,-1.0,-1.0,5946.0,-1.0,1228.0,436.0,4020.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,150.0
1974,1220.0,9258.0,11276.0,-1.0,-1.0,-1.0,-1.0,728.0,15480.0,14116.0,-1.0,-1.0,1000.0,-1.0,14109.0,50.0,-1.0,24835.0,523.0,18000.0,-1.0,-1.0,-1.0,-1.0,152.0,22400.0,-1.0,-1.0,950.0,-1,1200.0,-1.0,-1.0,20846.0,56000.0,13000.0,-1.0,7350.0,20.0,-1.0,-1.0,4400.0,-1.0,1200.0,7000.0,3270.0,-1.0,1793.0,-1.0,-1.0,5213.0,-1.0,1311.0,473.0,7284.0,-1.0,-1.0,-1.0,-1.0,37000.0,-1.0,150.0
1975,1330.0,9271.0,11848.0,-1.0,-1.0,-1.0,-1.0,710.0,16872.0,10486.0,-1.0,-1.0,1100.0,-1.0,14794.0,100.0,-1.0,53022.0,392.0,19000.0,-1.0,-1.0,-1.0,-1.0,356.0,19400.0,-1.0,-1.0,900.0,-1,1400.0,-1.0,-1.0,21239.0,68000.0,20000.0,-1.0,5890.0,43.0,-1.0,-1.0,5200.0,-1.0,1200.0,7000.0,3000.0,-1.0,1642.0,-1.0,-1.0,5030.0,-1.0,1245.0,292.0,6834.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,150.0
1976,1320.0,9255.0,11082.0,-1.0,-1.0,-1.0,-1.0,622.0,15714.0,13675.0,-1.0,-1.0,1400.0,-1.0,13306.0,90.0,-1.0,32270.0,454.0,19000.0,-1.0,-1.0,-1.0,-1.0,305.0,19900.0,-1.0,-1.0,1050.0,-1,1600.0,-1.0,-1.0,20524.0,76000.0,13000.0,-1.0,5610.0,212.0,-1.0,-1.0,6250.0,-1.0,1600.0,6500.0,3000.0,-1.0,2940.0,-1.0,-1.0,5373.0,-1.0,1240.0,364.0,7517.0,-1.0,-1.0,-1.0,-1.0,43000.0,-1.0,150.0
1977,1320.0,8521.0,10573.0,-1.0,-1.0,-1.0,-1.0,633.0,14843.0,9255.0,-1.0,-1.0,1600.0,-1.0,11965.0,50.0,-1.0,26803.0,377.0,20000.0,-1.0,-1.0,-1.0,-1.0,203.0,20000.0,-1.0,-1.0,900.0,-1,1800.0,1650.0,-1.0,19847.0,83000.0,19000.0,-1.0,5000.0,61.0,-1.0,-1.0,5500.0,-1.0,1600.0,6000.0,3000.0,-1.0,1660.0,-1.0,-1.0,4745.0,-1.0,1167.0,327.0,4360.0,-1.0,-1.0,-1.0,-1.0,46000.0,-1.0,150.0
1978,2775.0,8306.0,9942.0,-1.0,-1.0,-1.0,-1.0,598.0,14884.0,8092.0,-1.0,-1.0,1790.0,-1.0,11511.0,70.0,-1.0,23642.0,345.0,20000.0,-1.0,-1.0,-1.0,-1.0,203.0,16000.0,-1.0,-1.0,750.0,-1,2000.0,100.0,-1.0,17714.0,67000.0,15700.0,-1.0,4800.0,82.0,-1.0,-1.0,7000.0,-1.0,1800.0,6000.0,5000.0,-1.0,2750.0,-1.0,-1.0,4222.0,-1.0,1432.0,275.0,5406.0,-1.0,-1.0,-1.0,-1.0,41000.0,-1.0,150.0
1979,2610.0,8156.0,11014.0,-1.0,-1.0,-1.0,-1.0,982.0,15121.0,6842.0,-1.0,-1.0,1800.0,-1.0,10370.0,70.0,200.0,21312.0,401.0,20000.0,-1.0,-1.0,-1.0,-1.0,183.0,19500.0,-1.0,-1.0,900.0,-1,2500.0,-1.0,-1.0,19074.0,41000.0,21000.0,-1.0,4440.0,157.0,-1.0,-1.0,6000.0,-1.0,1800.0,6143.0,3000.0,-1.0,2581.0,-1.0,-1.0,3512.0,-1.0,1255.0,331.0,6916.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,150.0
1980,2810.0,8974.0,11620.0,-1.0,-1.0,-1.0,-1.0,1341.0,14081.0,9303.0,-1.0,-1.0,1800.0,-1.0,10950.0,70.0,200.0,20206.0,210.0,21000.0,-1.0,-1.0,-1.0,-1.0,152.0,17000.0,-1.0,-1.0,950.0,-1,3000.0,-1.0,-1.0,23522.0,16000.0,16500.0,-1.0,4510.0,104.0,-1.0,-1.0,7000.0,-1.0,1600.0,5684.0,2500.0,-1.0,3000.0,-1.0,-1.0,3291.0,-1.0,1085.0,140.0,8223.0,5.0,-1.0,-1.0,-1.0,50000.0,-1.0,150.0
1981,2610.0,8812.0,11366.0,-1.0,-1.0,-1.0,-1.0,1500.0,12674.0,13743.0,-1.0,-1.0,1800.0,-1.0,12408.0,80.0,192.0,27099.0,271.0,22000.0,-1.0,-1.0,-1.0,-1.0,152.0,17600.0,-1.0,-1.0,1000.0,-1,3000.0,-1.0,-1.0,28479.0,40000.0,15000.0,-1.0,4280.0,13.0,-1.0,-1.0,5000.0,-1.0,1100.0,5000.0,2000.0,-1.0,2500.0,-1.0,-1.0,3621.0,-1.0,831.0,191.0,7497.0,5.0,-1.0,-1.0,-1.0,56000.0,-1.0,100.0
1982,2775.0,9065.0,11369.0,-1.0,-1.0,-1.0,-1.0,1724.0,13291.0,14673.0,-1.0,-1.0,1900.0,-1.0,12528.0,80.0,201.0,24608.0,261.0,26768.0,-1.0,-1.0,-1.0,-1.0,173.0,12500.0,-1.0,-1.0,1000.0,-1,3000.0,-1.0,-1.0,33613.0,20800.0,23000.0,-1.0,3790.0,14.0,-1.0,-1.0,5140.0,-1.0,1100.0,4530.0,2400.0,-1.0,3400.0,-1.0,-1.0,3999.0,-1.0,726.0,181.0,8097.0,6.0,-1.0,-1.0,-1.0,62000.0,-1.0,150.0
1983,2507.0,8555.0,10753.0,-1.0,-1.0,-1.0,-1.0,1300.0,12345.0,15454.0,-1.0,-1.0,1800.0,-1.0,13555.0,120.0,201.0,28893.0,270.0,38663.0,-1.0,-1.0,-1.0,-1.0,170.0,17000.0,-1.0,-1.0,1400.0,-1,5000.0,-1.0,-1.0,24834.0,50000.0,22200.0,-1.0,2450.0,62.0,-1.0,-1.0,7130.0,-1.0,1000.0,5430.0,3500.0,-1.0,3000.0,-1.0,-1.0,3307.0,-1.0,682.0,150.0,8907.0,7.0,-1.0,-1.0,-1.0,63000.0,-1.0,150.0
1984,2635.0,8922.0,10888.0,-1.0,-1.0,-1.0,-1.0,1300.0,10686.0,11233.0,-1.0,-1.0,1900.0,-1.0,12559.0,120.0,209.0,25218.0,197.0,33095.0,-1.0,-1.0,-1.0,-1.0,130.0,20300.0,-1.0,-1.0,1400.0,-1,7000.0,-1.0,-1.0,13185.0,41000.0,18000.0,-1.0,2310.0,47.0,-1.0,-1.0,7500.0,-1.0,900.0,3500.0,5000.0,-1.0,3115.0,-1.0,-1.0,3547.0,-1.0,591.0,77.0,6680.0,8.0,-1.0,-1.0,-1.0,59000.0,-1.0,200.0
1985,2600.0,8047.0,12193.0,-1.0,-1.0,-1.0,-1.0,1600.0,10425.0,10647.0,-1.0,-1.0,1900.0,-1.0,12600.0,180.0,218.0,25222.0,293.0,33000.0,-1.0,-1.0,-1.0,-1.0,120.0,20500.0,-1.0,-1.0,1300.0,-1,8000.0,-1.0,500.0,10073.0,50000.0,26000.0,-1.0,2420.0,28.0,-1.0,2000.0,8000.0,-1.0,800.0,4000.0,6000.0,-1.0,3006.0,-1.0,-1.0,3611.0,-1.0,431.0,113.0,6546.0,10.0,-1.0,2000.0,-1.0,68000.0,-1.0,200.0
1986,2582.0,8045.0,10942.0,-1.0,-1.0,-1.0,-1.0,1500.0,8241.0,13840.0,-1.0,-1.0,2000.0,-1.0,12610.0,240.0,247.0,29482.0,360.0,36491.0,-1.0,-1.0,-1.0,-1.0,70.0,18800.0,-1.0,-1.0,1500.0,-1,8000.0,-1.0,1000.0,5609.0,50000.0,20000.0,-1.0,1020.0,20.0,-1.0,2500.0,8500.0,-1.0,1500.0,6500.0,7500.0,-1.0,2665.0,-1.0,-1.0,3505.0,-1.0,383.0,120.0,5237.0,15.0,-1.0,2500.0,-1.0,75000.0,-1.0,300.0
1987,2564.0,7965.0,10920.0,-1.0,-1.0,-1.0,-1.0,1589.0,7050.0,13589.0,-1.0,-1.0,2000.0,-1.0,9711.0,1500.0,287.0,23418.0,1623.0,29238.0,-1.0,-1.0,-1.0,-1.0,100.0,14250.0,-1.0,-1.0,1600.0,-1,8000.0,-1.0,650.0,3761.0,40000.0,15000.0,-1.0,1050.0,100.0,-1.0,3000.0,8900.0,-1.0,1200.0,4500.0,9000.0,-1.0,2209.0,-1.0,-1.0,3346.0,-1.0,534.0,123.0,5813.0,20.0,-1.0,3000.0,-1.0,71000.0,-1.0,300.0
1988,2900.0,8029.0,11157.0,-1.0,-1.0,-1.0,-1.0,2100.0,5970.0,13243.0,-1.0,-1.0,2050.0,-1.0,11209.0,700.0,316.0,21621.0,813.0,29185.0,-1.0,-1.0,-1.0,-1.0,100.0,20400.0,-1.0,-1.0,1787.0,-1,16000.0,-1.0,1000.0,7939.0,50000.0,14000.0,-1.0,980.0,100.0,-1.0,3000.0,3900.0,-1.0,1200.0,6000.0,11000.0,-1.0,1916.0,-1.0,-1.0,3109.0,-1.0,497.0,113.0,5000.0,23.0,-1.0,3000.0,-1.0,78000.0,-1.0,300.0
1989,2800.0,8028.0,11735.0,-1.0,-1.0,-1.0,-1.0,1900.0,5827.0,17720.0,-1.0,-1.0,2100.0,-1.0,11371.0,500.0,546.0,24348.0,573.0,21774.0,-1.0,-1.0,-1.0,-1.0,60.0,20800.0,-1.0,-1.0,1597.0,-1,17000.0,-1.0,750.0,6418.0,53000.0,20000.0,-1.0,960.0,31.0,-1.0,2800.0,3500.0,-1.0,1500.0,6200.0,12500.0,-1.0,2272.0,-1.0,-1.0,2850.0,-1.0,439.0,73.0,5500.0,23.0,-1.0,2800.0,-1.0,75000.0,-1.0,300.0
1990,2870.0,5844.0,11636.0,-1.0,-1.0,-1.0,-1.0,2600.0,4901.0,14685.0,-1.0,-1.0,2150.0,-1.0,10060.0,750.0,555.0,22600.0,813.0,22179.0,-1.0,-1.0,-1.0,-1.0,75.0,19450.0,-1.0,-1.0,1740.0,-1,22700.0,0.0,1316.0,8126.0,50000.0,20000.0,-1.0,1000.0,62.0,-1.0,3000.0,3500.0,-1.0,1100.0,7602.0,14000.0,-1.0,2335.0,-1.0,-1.0,2903.0,-1.0,443.0,63.0,4900.0,18.0,-1.0,3000.0,-1.0,79000.0,-1.0,229.0
1991,3070.0,5695.0,12208.0,-1.0,-1.0,-1.0,-1.0,2600.0,4818.0,13874.0,-1.0,-1.0,1650.0,-1.0,7200.0,650.0,526.0,18386.0,708.0,23766.0,-1.0,-1.0,-1.0,-1.0,70.0,21000.0,-1.0,-1.0,1400.0,-1,24500.0,0.0,562.0,8618.0,17647.0,12500.0,-1.0,880.0,95.0,-1.0,5000.0,2500.0,-1.0,500.0,7400.0,15078.0,-1.0,1177.0,-1.0,-1.0,2711.0,-1.0,403.0,58.0,3300.0,18.0,-1.0,5000.0,-1.0,78000.0,-1.0,400.0
1992,3065.0,5679.0,12268.0,-1.0,570.0,-1.0,-1.0,3826.0,4589.0,-1.0,1223.0,-1.0,2000.0,-1.0,6600.0,712.0,526.0,10000.0,795.0,26658.0,13315.0,-1.0,66.0,1500.0,75.0,22000.0,-1.0,-1.0,1600.0,-1,24000.0,0.0,1374.0,10334.0,-1.0,10000.0,-1.0,969.0,100.0,-1.0,8000.0,3300.0,-1.0,561.0,7154.0,15883.0,20000.0,2248.0,-1.0,-1.0,3251.0,300.0,494.0,83.0,4000.0,32.0,-1.0,8000.0,3750.0,80000.0,500.0,500.0
1993,3170.0,5812.0,11021.0,-1.0,634.0,-1.0,-1.0,5500.0,4775.0,-1.0,1052.0,-1.0,2200.0,-1.0,8427.0,700.0,557.0,6000.0,969.0,29395.0,14814.0,-1.0,83.0,1000.0,75.0,23000.0,-1.0,-1.0,1500.0,-1,22200.0,-1.0,934.0,9466.0,-1.0,7500.0,-1.0,909.0,126.0,-1.0,20000.0,5000.0,-1.0,700.0,7200.0,16500.0,21045.0,1328.0,-1.0,-1.0,2950.0,677.0,456.0,269.0,3380.0,28.0,-1.0,20000.0,3400.0,78000.0,1500.0,1400.0
1994,3220.0,5874.0,9113.0,-1.0,566.0,-1.0,-1.0,5677.0,4286.0,-1.0,780.0,-1.0,2100.0,-1.0,8258.0,750.0,416.0,8000.0,750.0,27500.0,10473.0,-1.0,418.0,1550.0,80.0,24000.0,-1.0,-1.0,1500.0,-1,28000.0,-1.0,925.0,6813.0,-1.0,7000.0,-1.0,1099.0,154.0,-1.0,23600.0,2600.0,-1.0,800.0,7000.0,17500.0,21519.0,1926.0,101.0,-1.0,2400.0,699.0,641.0,-1.0,4000.0,30.0,-1.0,23600.0,2400.0,82000.0,500.0,400.0
1995,2000.0,5463.0,8391.0,-1.0,600.0,-1.0,-1.0,5329.0,4300.0,-1.0,672.0,-1.0,2150.0,-1.0,7229.0,784.0,408.0,5000.0,784.0,34749.0,10007.0,-1.0,70.0,900.0,80.0,23979.0,-1.0,-1.0,1400.0,-1,20000.0,-1.0,856.0,7902.0,-1.0,5000.0,-1.0,572.0,150.0,-1.0,33000.0,3000.0,-1.0,700.0,7182.0,17800.0,22766.0,2442.0,206.0,-1.0,2300.0,725.0,277.0,-1.0,2100.0,28.0,-1.0,33000.0,3000.0,71000.0,287.0,590.0
1996,1800.0,5728.0,8492.0,-1.0,608.0,-1.0,-1.0,7060.0,4300.0,-1.0,825.0,-1.0,2100.0,-1.0,7188.0,800.0,426.0,6000.0,800.0,34696.0,16008.0,2388.0,53.0,800.0,75.0,24180.0,-1.0,-1.0,1300.0,-1,25900.0,-1.0,903.0,6273.0,-1.0,5000.0,-1.0,700.0,-1.0,-1.0,37000.0,4000.0,-1.0,650.0,7326.0,17951.0,20847.0,2435.0,104.0,-1.0,2400.0,726.0,300.0,-1.0,1900.0,29.0,-1.0,37000.0,4000.0,85000.0,2100.0,598.0
1997,1500.0,5920.0,7000.0,-1.0,597.0,-1.0,-1.0,6600.0,4300.0,-1.0,932.0,-1.0,2000.0,-1.0,6625.0,833.0,420.0,5500.0,833.0,29000.0,14286.0,2519.0,-1.0,800.0,80.0,24521.0,-1.0,-1.0,1200.0,-1,24500.0,-1.0,1000.0,7035.0,-1.0,8000.0,-1.0,600.0,-1.0,-1.0,50000.0,4400.0,350.0,622.0,7500.0,-1.0,21322.0,1964.0,67.0,-1.0,2000.0,500.0,335.0,-1.0,1800.0,30.0,-1.0,50000.0,4000.0,95000.0,3000.0,610.0
1998,1200.0,3702.0,4587.0,-1.0,572.0,-1.0,-1.0,6700.0,4500.0,-1.0,963.0,-1.0,2100.0,-1.0,6514.0,850.0,456.0,5900.0,850.0,30000.0,12579.0,2072.0,-1.0,1000.0,70.0,24860.0,-1.0,5734.0,1000.0,-1,29500.0,-1.0,1044.0,11338.0,-1.0,7000.0,20600.0,700.0,-1.0,-1.0,63000.0,4700.0,400.0,600.0,7589.0,-1.0,21000.0,2119.0,60.0,-1.0,2300.0,800.0,286.0,-1.0,1800.0,32.0,-1.0,63000.0,4300.0,95000.0,2080.0,900.0
1999,900.0,4977.0,5000.0,-1.0,500.0,-1.0,-1.0,8119.0,4500.0,-1.0,946.0,-1.0,1900.0,-1.0,6437.0,883.0,490.0,4800.0,883.0,28000.0,11375.0,1902.0,-1.0,1600.0,80.0,25000.0,-1.0,6121.0,1000.0,-1,30900.0,-1.0,1051.0,9798.0,-1.0,6500.0,22600.0,921.0,-1.0,-1.0,80000.0,5000.0,300.0,733.0,7779.0,-1.0,20000.0,2189.0,73.0,-1.0,2400.0,900.0,310.0,-1.0,2400.0,35.0,100.0,80000.0,4000.0,92000.0,2590.0,400.0
2000,800.0,5969.0,4000.0,-1.0,900.0,-1.0,-1.0,8245.0,4600.0,-1.0,983.0,-1.0,1850.0,400.0,6429.0,900.0,611.0,5000.0,900.0,26000.0,11989.0,1992.0,-1.0,1500.0,80.0,25442.0,7800.0,5170.0,1000.0,-1,20100.0,-1.0,998.0,9808.0,-1.0,7000.0,24500.0,418.0,-1.0,-1.0,85000.0,5000.0,300.0,841.0,8000.0,-1.0,20000.0,2318.0,64.0,-1.0,2200.0,2500.0,321.0,-1.0,2200.0,35.0,200.0,85000.0,5000.0,105000.0,1400.0,-1.0
2001,700.0,5191.0,8296.0,-1.0,600.0,-1.0,-1.0,7000.0,4600.0,-1.0,950.0,-1.0,1800.0,400.0,5927.0,1000.0,746.0,4000.0,1000.0,25000.0,10401.0,2317.0,-1.0,2000.0,70.0,25677.0,7600.0,4100.0,1269.0,-1,24900.0,-1.0,689.0,9570.0,-1.0,7500.0,23800.0,414.0,-1.0,-1.0,90000.0,4500.0,300.0,1071.0,8492.0,-1.0,22000.0,2279.0,71.0,-1.0,3000.0,800.0,179.0,-1.0,2100.0,36.0,300.0,90000.0,5000.0,102000.0,2600.0,-1.0
2002,600.0,5362.0,10749.0,-1.0,600.0,-1.0,-1.0,4700.0,900.0,-1.0,900.0,-1.0,1700.0,921.0,5446.0,962.0,823.0,3000.0,962.0,28916.0,8067.0,2329.0,-1.0,1800.0,70.0,26000.0,7500.0,2739.0,1347.0,-1,28100.0,-1.0,570.0,11149.0,-1.0,6500.0,20200.0,604.0,-1.0,-1.0,88000.0,4200.0,400.0,1000.0,9500.0,-1.0,25000.0,2390.0,77.0,-1.0,2000.0,1700.0,212.0,-1.0,2100.0,37.0,300.0,88000.0,4630.0,110000.0,2700.0,-1.0
2003,449.0,5954.0,14189.0,1200.0,700.0,-1.0,-1.0,4300.0,1266.0,-1.0,917.0,616.0,1400.0,1222.0,4988.0,986.0,973.0,1588.0,986.0,32330.0,15066.0,3071.0,-1.0,1500.0,70.0,25956.0,9300.0,5460.0,980.0,-1,29900.0,-1.0,619.0,6617.0,-1.0,8200.0,21090.0,515.0,-1.0,-1.0,90000.0,3800.0,202.0,600.0,9029.0,-1.0,26000.0,1577.0,74.0,-1.0,1000.0,1600.0,151.0,-1.0,2100.0,36.0,339.0,90000.0,5250.0,110000.0,1900.0,-1.0
