,Brunei Darussalam,Congo
1961,-1.0,-1.0
1962,-1.0,-1.0
1963,-1.0,-1.0
1964,-1.0,-1.0
1965,-1.0,-1.0
1966,-1.0,-1.0
1967,-1.0,-1.0
1968,-1.0,-1.0
1969,-1.0,-1.0
1970,-1.0,-1.0
1971,-1.0,-1.0
1972,-1.0,-1.0
1973,-1.0,-1.0
1974,-1.0,-1.0
1975,-1.0,-1.0
1976,-1.0,-1.0
1977,-1.0,-1.0
1978,-1.0,-1.0
1979,-1.0,-1.0
1980,-1.0,-1.0
1981,-1.0,-1.0
1982,-1.0,-1.0
1983,-1.0,-1.0
1984,-1.0,-1.0
1985,-1.0,-1.0
1986,-1.0,-1.0
1987,-1.0,-1.0
1988,-1.0,-1.0
1989,-1.0,-1.0
1990,-1.0,35000.0
1991,-1.0,36000.0
1992,-1.0,37000.0
1993,-1.0,38000.0
1994,-1.0,39000.0
1995,-1.0,40000.0
1996,-1.0,41000.0
1997,-1.0,42000.0
1998,-1.0,43000.0
1999,-1.0,44000.0
2000,-1.0,45000.0
2001,-1.0,46000.0
2002,-1.0,47000.0
2003,-1.0,48557.0
2004,-1.0,50274.0
2005,-1.0,52000.0
2006,-1.0,55613.0
2007,-1.0,64911.0
2008,-1.0,71122.0
2009,-1.0,77434.0
2010,-1.0,85000.0
2011,-1.0,85000.0
2012,-1.0,89325.0
2013,-1.0,81591.0
2014,-1.0,77079.0
