,Slovakia,South Africa,Eritrea,USSR,Philippines,The former Yugoslav Republic of Macedonia,United Republic of Tanzania,Samoa,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Germany,Uganda,Benin,Uzbekistan,Cambodia,Mozambique,Niger,Morocco,Canada,Zimbabwe,Kyrgyzstan,India,Austria,Israel,Cabo Verde,Poland,Switzerland,Ethiopia PDR,Malaysia,Latvia,Czechoslovakia,France,Republic of Korea,Croatia,Hungary,Russian Federation,Central African Republic,Iran (Islamic Republic of),Kazakhstan,Azerbaijan,Côte d'Ivoire,Polynesia,Lithuania,Bulgaria,Ukraine
1961,,12000.0,,2500.0,3333.0,,5000.0,5000.0,,,4000.0,,1931.0,8331.0,,,,,4000.0,,12143.0,,,,2096.0,9065.0,8333.0,5000.0,6667.0,,4231.0,10000.0,,3231.0,,3860.0,,,,,10000.0,,,,5000.0,,10000.0,
1962,,12000.0,,2500.0,3333.0,,5000.0,5000.0,,,4000.0,,2092.0,10977.0,,,,,3922.0,,12000.0,,,,2104.0,9163.0,8696.0,5000.0,6000.0,,3846.0,10000.0,,3324.0,,4041.0,,,,,10000.0,,,,5000.0,,10000.0,
1963,,12000.0,,2500.0,3333.0,,5000.0,5000.0,,,4000.0,,3862.0,6443.0,,,,,3966.0,,12048.0,,,,1656.0,10073.0,8824.0,5000.0,6667.0,,4286.0,10000.0,,2308.0,,3496.0,,,,,10000.0,,,,5000.0,,10000.0,
1964,,12000.0,,2500.0,3333.0,,5000.0,5000.0,,,4000.0,,4185.0,11946.0,,,,,4000.0,,12069.0,,,,1980.0,10251.0,7843.0,5000.0,5333.0,,4000.0,10000.0,,4243.0,,4142.0,,,,,10000.0,,,,5000.0,,24000.0,
1965,,11667.0,,2409.0,3333.0,,5000.0,5000.0,,,4000.0,,4185.0,13533.0,,,,,4000.0,,12048.0,,,,1743.0,8138.0,8621.0,5000.0,8667.0,,4000.0,10000.0,,1318.0,,4280.0,,,,,10000.0,,,,5000.0,,26000.0,
1966,,11667.0,,4231.0,3558.0,,5000.0,5000.0,,,4000.0,,4185.0,13649.0,,,,,3793.0,,12121.0,,,,1670.0,9284.0,9709.0,5000.0,7895.0,,4000.0,10000.0,,3816.0,,5051.0,,,,,10000.0,,,,5000.0,,20000.0,
1967,,11667.0,,3100.0,3252.0,,5000.0,5000.0,,,4000.0,,6277.0,14270.0,,,,,4179.0,,12121.0,,,,2094.0,9564.0,9259.0,5000.0,9816.0,,4077.0,10000.0,,8213.0,,4871.0,,,,,10000.0,,,,5000.0,,23000.0,
1968,,11429.0,,3300.0,3000.0,,5000.0,5000.0,,,4000.0,,5579.0,14180.0,,,,,3714.0,,12000.0,,,,2018.0,9809.0,10000.0,5000.0,9859.0,,4000.0,10000.0,,10977.0,,5018.0,,,,,10000.0,,,,5000.0,,16000.0,
1969,,11429.0,,2333.0,3107.0,,5000.0,5000.0,,,4000.0,,3229.0,8764.0,,,,,3263.0,,12000.0,,,,2033.0,9036.0,11111.0,5000.0,7119.0,,4143.0,10000.0,,14000.0,,5396.0,,,,,10000.0,,,,5000.0,,17000.0,
1970,,11429.0,,2885.0,3117.0,,5000.0,5000.0,,,4000.0,,4663.0,10091.0,,,,,3500.0,,12048.0,,,,2618.0,9380.0,9615.0,5000.0,9341.0,,3929.0,10000.0,,14000.0,,5487.0,,,,,10000.0,,,,5000.0,,15000.0,
1971,,11429.0,,3583.0,3243.0,,5000.0,5000.0,,,4000.0,,4567.0,11696.0,,,,,3667.0,,12048.0,,,,2346.0,8497.0,10204.0,5000.0,8889.0,,4000.0,10000.0,,14184.0,,6061.0,,,,,10000.0,,,,5000.0,,10000.0,
1972,,11250.0,,3571.0,3235.0,,5000.0,5000.0,,,3750.0,,4510.0,10896.0,,,,,3500.0,,12048.0,,,,1982.0,7832.0,10526.0,5000.0,8130.0,,4000.0,10000.0,,15429.0,,5864.0,,,,,10000.0,,,,5000.0,,16000.0,
1973,,11250.0,,2727.0,4135.0,,5000.0,5000.0,,,3750.0,,4544.0,10914.0,,,,,3421.0,,12048.0,,,,2462.0,8907.0,11429.0,5000.0,10101.0,,3901.0,10000.0,,7528.0,,6101.0,,,,,10000.0,,,,5000.0,,15000.0,
1974,,11111.0,,2222.0,4348.0,,5000.0,5000.0,,,4000.0,,4299.0,14624.0,,,,,3389.0,,11905.0,,,,2126.0,9437.0,14124.0,5000.0,10619.0,,2496.0,10000.0,,6647.0,,6185.0,,,,,10000.0,,,,5000.0,,10000.0,
1975,,11111.0,,4000.0,4333.0,,5000.0,5000.0,,,4000.0,,4453.0,12097.0,,,,,3478.0,,12000.0,,,,2446.0,9539.0,10345.0,,11804.0,,3375.0,10000.0,,12519.0,,6305.0,,,,,10000.0,,,,5000.0,,10000.0,
1976,,11111.0,,6667.0,4167.0,,5000.0,5000.0,,,4000.0,,4559.0,11258.0,,,,,3600.0,,12000.0,,,,1994.0,8703.0,10938.0,,11649.0,,2103.0,10000.0,,8164.0,,6442.0,,8000.0,,,10000.0,,,,5000.0,,10000.0,
1977,,12222.0,,5000.0,4286.0,,5000.0,5000.0,,,4000.0,,4764.0,10183.0,,,,,3760.0,,12000.0,,,,2433.0,8989.0,10000.0,,10170.0,,3178.0,10000.0,,12356.0,,6510.0,,6235.0,,,10000.0,,,,5000.0,,10000.0,
1978,,12222.0,,10000.0,4167.0,,5000.0,5000.0,,,4000.0,,4342.0,13229.0,,,,,3600.0,,12000.0,,,,2393.0,8380.0,9429.0,,10588.0,,4534.0,10000.0,,8958.0,,6276.0,,9847.0,,,10000.0,,,,5000.0,,8750.0,
1979,,12222.0,,8000.0,4167.0,,4800.0,5000.0,,,3750.0,,4575.0,12907.0,,,,,3600.0,,12000.0,,,,1806.0,7999.0,9296.0,,9180.0,,4022.0,10000.0,,12648.0,,6344.0,,7203.0,,,10000.0,,,,5000.0,,9000.0,
1980,,12222.0,,10000.0,4167.0,,5000.0,5000.0,,,3750.0,,4509.0,13645.0,,,,,3600.0,,12000.0,,,,2440.0,8458.0,9600.0,,6690.0,,5190.0,10000.0,,9126.0,,5592.0,,12703.0,,,10000.0,,,,5000.0,,9286.0,
1981,,13333.0,,7692.0,4167.0,,5000.0,5000.0,,,3750.0,,4501.0,10115.0,,,,,3600.0,,12000.0,,,,2654.0,9545.0,9762.0,,8635.0,,3327.0,10000.0,,11104.0,,6251.0,,11491.0,,,10000.0,,,,5000.0,,10000.0,
1982,,13333.0,,10000.0,4167.0,,5000.0,5000.0,,,4000.0,,4705.0,10891.0,,,,,3600.0,,12000.0,,,,2362.0,9756.0,10074.0,,9423.0,,4573.0,10000.0,,14377.0,,6435.0,,9366.0,,,10000.0,,,,5000.0,,10000.0,
1983,,12222.0,,10000.0,4167.0,,5000.0,5000.0,,,3846.0,,5170.0,6869.0,,,,,3600.0,,12121.0,,5000.0,,2942.0,8865.0,13909.0,,8773.0,,3808.0,10000.0,,12430.0,,6867.0,,10695.0,,,10000.0,,,,5000.0,,8750.0,
1984,,12222.0,,6393.0,4167.0,,5000.0,5000.0,,,4000.0,,5462.0,10927.0,,,,,3600.0,,12121.0,,5000.0,,2508.0,8879.0,12676.0,,9903.0,,3413.0,10000.0,,12838.0,,7109.0,,9690.0,,5000.0,10000.0,,,,5000.0,,5000.0,
1985,,12222.0,,9286.0,4286.0,,5000.0,5000.0,6574.0,,4211.0,,5619.0,9615.0,,,,,3600.0,,12000.0,,5000.0,,3028.0,9331.0,17500.0,,8991.0,,3562.0,10000.0,,16387.0,,7379.0,,10158.0,,5000.0,10000.0,,,,5000.0,,10000.0,
1986,,12222.0,,10000.0,4211.0,,5000.0,5000.0,5684.0,,4000.0,,5619.0,10205.0,,,,,3600.0,,12000.0,,5000.0,,2235.0,9165.0,14286.0,,8574.0,,3414.0,10000.0,,16173.0,,7385.0,,9296.0,,5057.0,10000.0,,,,5000.0,,12500.0,
1987,,12222.0,,8750.0,4167.0,,5000.0,5000.0,5774.0,,4286.0,,5342.0,13564.0,,,,,3600.0,,12121.0,,5000.0,,2806.0,10028.0,12000.0,,8806.0,,3783.0,10000.0,,19838.0,,7190.0,,9559.0,,5368.0,10000.0,,,,5000.0,,10000.0,
1988,,12222.0,,2235.0,4286.0,,4857.0,5000.0,6229.0,,4667.0,,6129.0,12284.0,,,,,3600.0,,11818.0,,5000.0,,2941.0,10006.0,10370.0,,8540.0,,3668.0,10000.0,,15684.0,,7699.0,,11917.0,,5074.0,10000.0,,,,5000.0,,10000.0,
1989,,12222.0,,2353.0,4375.0,,5143.0,5000.0,6405.0,,4571.0,,5778.0,8016.0,,,,,3600.0,,12174.0,,5000.0,,3000.0,7000.0,11111.0,,8474.0,,3147.0,10000.0,,19069.0,,7630.0,,21500.0,,5083.0,13333.0,,,,5000.0,,11000.0,
1990,,13515.0,,2990.0,4412.0,,5000.0,5635.0,6382.0,,4500.0,,5919.0,,,,,26923.0,5308.0,5000.0,12000.0,,4619.0,,3048.0,6999.0,11111.0,,10853.0,,3200.0,10000.0,,11072.0,,7558.0,,20111.0,,5344.0,13103.0,,,,5635.0,,10000.0,
1991,,1898.0,,,4318.0,,5073.0,3417.0,5895.0,,4000.0,,6875.0,,6213.0,,,27143.0,3171.0,3889.0,12052.0,,5571.0,,2803.0,5090.0,12500.0,,9205.0,,3774.0,9872.0,,14558.0,17354.0,7413.0,,18905.0,,5000.0,10703.0,,,,3417.0,,10000.0,
1992,,2908.0,,,4444.0,10000.0,5271.0,3436.0,5683.0,,4000.0,,6880.0,,6322.0,,8571.0,26000.0,3214.0,5000.0,12133.0,,5560.0,6625.0,2769.0,6975.0,11111.0,,5572.0,,3949.0,9914.0,10000.0,14577.0,17434.0,7381.0,,18000.0,8333.0,5000.0,10684.0,17692.0,,,3436.0,,10000.0,
1993,15400.0,3918.0,3667.0,,4432.0,12000.0,5427.0,3454.0,5670.0,3783.0,4363.0,9790.0,7143.0,,6431.0,,7143.0,26667.0,3226.0,4770.0,12216.0,,5549.0,3822.0,3272.0,5276.0,10000.0,,8000.0,,,10000.0,10000.0,,17515.0,6900.0,,15000.0,7500.0,5031.0,10666.0,7119.0,,,3454.0,,10000.0,
1994,13712.0,4928.0,4474.0,,4474.0,12000.0,5641.0,3473.0,6059.0,3797.0,4615.0,8750.0,7500.0,,6539.0,,8000.0,27273.0,3333.0,5000.0,12300.0,,5538.0,600.0,3209.0,6765.0,10511.0,,7500.0,,,10000.0,11538.0,,17595.0,7331.0,,14718.0,7976.0,5046.0,10647.0,5714.0,,,3473.0,,10000.0,8750.0
1995,13416.0,5938.0,4500.0,,4537.0,10000.0,6216.0,3491.0,6015.0,3850.0,4776.0,8750.0,7500.0,,6648.0,,8571.0,28571.0,3360.0,5743.0,12388.0,,5527.0,2247.0,3161.0,7241.0,10367.0,,6786.0,,,10000.0,11111.0,,17675.0,7192.0,,15000.0,8333.0,5044.0,10629.0,5634.0,,,3491.0,,10000.0,8371.0
