,Venezuela (Bolivarian Republic of),Brazil,Mexico,Guyana
1961,353.0,8500.0,2100.0,320.0
1962,281.0,6000.0,2000.0,360.0
1963,111.0,4000.0,1800.0,340.0
1964,265.0,5000.0,1000.0,340.0
1965,361.0,7000.0,1700.0,340.0
1966,247.0,4964.0,1200.0,320.0
1967,86.0,6395.0,1387.0,380.0
1968,178.0,4278.0,1781.0,216.0
1969,113.0,4080.0,2387.0,267.0
1970,258.0,5857.0,2280.0,305.0
1971,162.0,14607.0,1761.0,350.0
1972,114.0,6000.0,2262.0,400.0
1973,72.0,4174.0,2600.0,400.0
1974,3.0,4764.0,2800.0,400.0
1975,0.0,4109.0,3000.0,410.0
1976,,7296.0,3500.0,420.0
1977,,5450.0,4000.0,420.0
1978,,6413.0,4500.0,430.0
1979,,5991.0,5000.0,430.0
1980,,3909.0,5527.0,440.0
1981,,3943.0,10521.0,440.0
1982,,6103.0,9000.0,450.0
1983,,5481.0,7000.0,450.0
1984,,5254.0,6000.0,460.0
1985,,2843.0,5000.0,460.0
1986,,3400.0,5000.0,460.0
1987,,1841.0,10000.0,460.0
1988,,1272.0,15000.0,460.0
1989,,1254.0,21943.0,480.0
1990,0.0,870.0,22574.0,480.0
1991,0.0,491.0,21362.0,480.0
1992,0.0,333.0,22706.0,500.0
1993,-1.0,173.0,28334.0,500.0
1994,-1.0,157.0,31527.0,500.0
1995,-1.0,170.0,18214.0,500.0
1996,-1.0,54.0,19716.0,500.0
1997,-1.0,58.0,22406.0,500.0
1998,-1.0,41.0,16846.0,500.0
1999,-1.0,41.0,20561.0,500.0
2000,-1.0,42.0,21562.0,500.0
2001,-1.0,44.0,22547.0,500.0
2002,-1.0,48.0,19372.0,500.0
2003,-1.0,50.0,26986.0,500.0
2004,-1.0,55.0,27254.0,500.0
2005,-1.0,55.0,24750.0,500.0
2006,-1.0,55.0,24145.0,500.0
2007,-1.0,55.0,27709.0,500.0
2008,-1.0,60.0,29112.0,500.0
2009,-1.0,60.0,31794.0,500.0
2010,-1.0,55.0,32097.0,500.0
2011,-1.0,60.0,38243.0,500.0
2012,-1.0,65.0,47639.0,500.0
2013,-1.0,60.0,51397.0,500.0
2014,-1.0,65.0,51000.0,500.0
