,Burundi,Ethiopia,Argentina,Brazil,Paraguay,Sudan (former)
1961,,,-1.0,-1.0,5300.0,
1962,,,-1.0,-1.0,5300.0,
1963,,,-1.0,-1.0,6700.0,
1964,,,-1.0,-1.0,7300.0,
1965,,,-1.0,-1.0,8300.0,
1966,,,-1.0,-1.0,8700.0,
1967,,,-1.0,-1.0,6000.0,
1968,,,-1.0,-1.0,6300.0,
1969,,,-1.0,-1.0,6700.0,
1970,,,-1.0,-1.0,6500.0,
1971,,,-1.0,-1.0,5200.0,
1972,,,-1.0,-1.0,6100.0,
1973,,,-1.0,-1.0,5500.0,
1974,,,-1.0,-1.0,6200.0,
1975,,,-1.0,-1.0,6600.0,
1976,,,-1.0,-1.0,6800.0,
1977,,,-1.0,-1.0,7500.0,
1978,,,-1.0,-1.0,8200.0,
1979,,,-1.0,-1.0,8600.0,
1980,,,79344.0,-1.0,10000.0,
1981,,,88623.0,4859.0,11700.0,
1982,,,90000.0,4930.0,13700.0,
1983,,,82000.0,5299.0,13500.0,
1984,,,91700.0,5632.0,13900.0,
1985,,,88200.0,6049.0,14400.0,
1986,,,100700.0,7251.0,14800.0,
1987,,,105450.0,7633.0,11991.0,
1988,,,102950.0,8144.0,12508.0,
1989,,,96713.0,8398.0,13376.0,
1990,,,101842.0,8494.0,14339.0,0.0
1991,,,106487.0,10211.0,19792.0,-1.0
1992,,,108820.0,10844.0,21000.0,-1.0
1993,,-1.0,158373.0,18841.0,21400.0,-1.0
1994,,-1.0,153980.0,16457.0,21100.0,-1.0
1995,,-1.0,149960.0,22754.0,28466.0,-1.0
1996,,-1.0,163450.0,32836.0,28852.0,-1.0
1997,,-1.0,144650.0,39379.0,29226.0,-1.0
1998,,-1.0,154600.0,57429.0,29280.0,-1.0
1999,,-1.0,150000.0,62154.0,32194.0,
2000,,-1.0,178000.0,69029.0,31609.0,
2001,,-1.0,176400.0,84009.0,32804.0,
2002,-1.0,-1.0,175100.0,79616.0,34713.0,
2003,,-1.0,156050.0,84438.0,31118.0,
2004,,-1.0,160950.0,74800.0,28006.0,
2005,,-1.0,166100.0,76101.0,27350.0,
2006,,-1.0,171500.0,78633.0,30480.0,
2007,,-1.0,168450.0,74526.0,32000.0,
2008,,-1.0,173940.0,71217.0,18305.0,
2009,,-1.0,175550.0,70588.0,18320.0,
2010,,-1.0,204221.0,68183.0,18299.0,
2011,,-1.0,178500.0,71185.0,18299.0,
2012,,-1.0,178500.0,76347.0,20000.0,
2013,,-1.0,178995.0,67397.0,20000.0,
2014,,-1.0,175165.0,70835.0,20000.0,
