,Kenya,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Cameroon,Serbia,India,Armenia,Syrian Arab Republic,Nepal,Uzbekistan,Yugoslav SFR,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Iraq,Cyprus,South Africa,Japan,New Zealand,Yemen,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Pakistan,Morocco,Madagascar,Tajikistan,Kyrgyzstan,Argentina,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Czechoslovakia,Bhutan,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Egypt,Bosnia and Herzegovina,China,Tunisia,Malta,Libya,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Ecuador,Hungary,Kazakhstan,Chile,Israel,Australia,France,Jordan,Republic of Moldova,Poland,"China, mainland",Russian Federation,Italy,Turkey
1978,2.0,56.0,4178.0,-1.0,-1.0,-1.0,-1.0,2700.0,-1.0,12320.0,-1.0,-1.0,-1.0,330.0,-1.0,6500.0,7050.0,15.0,-1.0,214.0,4000.0,-1.0,552.0,-1.0,7486.0,2942.0,11290.0,14000.0,7300.0,2987.0,-1.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1058.0,60000.0,-1.0,-1.0,20200.0,2098.0,-1.0,4178.0,19320.0,-1.0,-1.0,-1.0,1899.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1530.0,610.0,2390.0,13509.0,139.0,-1.0,-1.0,-1.0,-1.0,13500.0,44245.0
1979,2.0,56.0,4256.0,-1.0,-1.0,-1.0,-1.0,2400.0,-1.0,12365.0,-1.0,-1.0,-1.0,380.0,-1.0,6300.0,6810.0,30.0,-1.0,227.0,4500.0,-1.0,570.0,1863.0,7692.0,2930.0,10040.0,14000.0,8700.0,3100.0,-1.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,674.0,33000.0,-1.0,-1.0,19500.0,2050.0,-1.0,4256.0,19620.0,-1.0,-1.0,-1.0,1989.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,580.0,2360.0,13200.0,99.0,-1.0,-1.0,-1.0,-1.0,13000.0,43575.0
1980,2.0,53.0,4431.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,12732.0,-1.0,-1.0,-1.0,460.0,-1.0,6300.0,6820.0,20.0,-1.0,234.0,4500.0,-1.0,581.0,1951.0,7321.0,2951.0,10040.0,14000.0,7700.0,3218.0,-1.0,85.0,-1.0,-1.0,4350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1286.0,85000.0,-1.0,-1.0,19300.0,2017.0,-1.0,4431.0,20000.0,-1.0,-1.0,-1.0,2073.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1480.0,640.0,2370.0,13000.0,18.0,-1.0,-1.0,-1.0,-1.0,13000.0,44075.0
1981,2.0,53.0,4333.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,13159.0,-1.0,-1.0,-1.0,391.0,-1.0,6200.0,6680.0,25.0,-1.0,234.0,4700.0,-1.0,511.0,1774.0,7183.0,2861.0,9430.0,14000.0,12000.0,3508.0,-1.0,96.0,-1.0,-1.0,4398.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1339.0,86000.0,-1.0,-1.0,19600.0,2000.0,-1.0,4333.0,11000.0,-1.0,-1.0,-1.0,2146.0,-1.0,3200.0,-1.0,-1.0,-1.0,-1.0,-1.0,1430.0,680.0,2350.0,12471.0,17.0,-1.0,-1.0,-1.0,-1.0,12800.0,44000.0
1982,2.0,51.0,4299.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,13475.0,-1.0,-1.0,-1.0,550.0,-1.0,6500.0,6410.0,20.0,-1.0,234.0,3600.0,-1.0,571.0,1835.0,7034.0,2901.0,9100.0,13800.0,11000.0,3770.0,-1.0,104.0,-1.0,-1.0,4200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1538.0,40000.0,-1.0,-1.0,19900.0,2100.0,-1.0,4299.0,11200.0,-1.0,-1.0,-1.0,2273.0,-1.0,3250.0,-1.0,-1.0,-1.0,-1.0,-1.0,1490.0,880.0,2330.0,12500.0,21.0,-1.0,-1.0,-1.0,-1.0,12700.0,43750.0
1983,2.0,52.0,4404.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,12800.0,-1.0,-1.0,-1.0,430.0,-1.0,6500.0,6170.0,15.0,-1.0,241.0,4000.0,-1.0,668.0,1835.0,6516.0,2928.0,8820.0,14200.0,10000.0,4167.0,-1.0,110.0,-1.0,-1.0,4270.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1324.0,50000.0,-1.0,-1.0,21300.0,2200.0,-1.0,4404.0,11800.0,-1.0,-1.0,-1.0,2273.0,-1.0,3330.0,-1.0,-1.0,-1.0,-1.0,-1.0,1530.0,870.0,2260.0,12500.0,20.0,-1.0,-1.0,-1.0,-1.0,13714.0,49500.0
1984,2.0,52.0,4335.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,13700.0,-1.0,-1.0,-1.0,460.0,-1.0,6600.0,5920.0,10.0,-1.0,268.0,4000.0,-1.0,670.0,1843.0,6145.0,3000.0,8460.0,15200.0,12000.0,4600.0,-1.0,125.0,-1.0,-1.0,4290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,761.0,38000.0,-1.0,-1.0,19200.0,2100.0,-1.0,4335.0,15000.0,-1.0,-1.0,-1.0,2336.0,-1.0,3400.0,-1.0,-1.0,-1.0,-1.0,-1.0,1580.0,930.0,2330.0,12596.0,59.0,-1.0,-1.0,-1.0,-1.0,13892.0,50000.0
1985,2.0,45.0,4438.0,-1.0,-1.0,88.0,-1.0,1600.0,-1.0,10100.0,-1.0,-1.0,6400.0,450.0,-1.0,7425.0,5750.0,20.0,7100.0,201.0,3300.0,-1.0,750.0,1897.0,5911.0,3130.0,8093.0,16504.0,13000.0,4900.0,12300.0,125.0,-1.0,-1.0,4250.0,-1.0,-1.0,850.0,-1.0,2070.0,-1.0,5150.0,-1,700.0,623.0,45000.0,8000.0,-1.0,20000.0,2100.0,-1.0,4438.0,15000.0,-1.0,3000.0,530.0,2467.0,-1.0,3450.0,-1.0,-1.0,63.0,11000.0,-1.0,1650.0,830.0,2380.0,12692.0,100.0,-1.0,-1.0,-1.0,-1.0,14470.0,47250.0
1986,2.0,43.0,5080.0,-1.0,-1.0,88.0,-1.0,1500.0,-1.0,9900.0,-1.0,-1.0,6400.0,470.0,-1.0,7270.0,5610.0,12.0,6600.0,201.0,5000.0,-1.0,778.0,1958.0,5399.0,2978.0,7930.0,18407.0,9300.0,5300.0,12300.0,100.0,-1.0,-1.0,4250.0,-1.0,-1.0,820.0,-1.0,2080.0,-1.0,5220.0,-1,690.0,438.0,46000.0,8000.0,-1.0,20400.0,2940.0,-1.0,5080.0,11000.0,-1.0,3000.0,530.0,700.0,-1.0,3480.0,-1.0,-1.0,63.0,8000.0,-1.0,1810.0,860.0,2200.0,12871.0,238.0,-1.0,-1.0,-1.0,-1.0,13711.0,46100.0
1987,2.0,47.0,5487.0,-1.0,-1.0,88.0,-1.0,1600.0,-1.0,9900.0,-1.0,-1.0,6400.0,570.0,-1.0,7195.0,4830.0,15.0,5600.0,201.0,5000.0,-1.0,776.0,2019.0,5581.0,3076.0,7770.0,16881.0,10500.0,5500.0,12300.0,100.0,-1.0,-1.0,3840.0,-1.0,-1.0,800.0,-1.0,2090.0,-1.0,5220.0,-1,700.0,411.0,51000.0,8000.0,-1.0,21400.0,2940.0,-1.0,5487.0,11000.0,-1.0,3000.0,530.0,718.0,-1.0,3500.0,-1.0,-1.0,63.0,7000.0,-1.0,1880.0,820.0,2300.0,13359.0,221.0,-1.0,-1.0,-1.0,-1.0,14134.0,46735.0
1988,2.0,43.0,7884.0,-1.0,-1.0,88.0,-1.0,1500.0,-1.0,10900.0,-1.0,-1.0,6460.0,490.0,-1.0,7120.0,5050.0,15.0,5800.0,201.0,5000.0,-1.0,832.0,2155.0,5891.0,3342.0,7770.0,18722.0,10200.0,6100.0,13100.0,100.0,-1.0,-1.0,3435.0,-1.0,-1.0,755.0,-1.0,2090.0,-1.0,5140.0,-1,720.0,436.0,50000.0,8000.0,-1.0,21900.0,2520.0,-1.0,7884.0,11000.0,-1.0,3000.0,530.0,700.0,-1.0,3500.0,-1.0,-1.0,63.0,7000.0,-1.0,1950.0,880.0,2510.0,13292.0,217.0,-1.0,-1.0,-1.0,-1.0,13624.0,47365.0
1989,2.0,43.0,7895.0,-1.0,-1.0,88.0,-1.0,1700.0,-1.0,9600.0,-1.0,-1.0,6510.0,54.0,-1.0,7030.0,5060.0,16.0,6500.0,201.0,5200.0,-1.0,857.0,2368.0,5598.0,3577.0,7580.0,11344.0,14300.0,6300.0,13400.0,105.0,-1.0,-1.0,3460.0,-1.0,-1.0,725.0,-1.0,2100.0,-1.0,5120.0,-1,750.0,298.0,50000.0,8000.0,-1.0,22800.0,2520.0,-1.0,7895.0,12000.0,-1.0,3000.0,530.0,700.0,-1.0,3600.0,-1.0,-1.0,63.0,12000.0,-1.0,1980.0,880.0,2720.0,13500.0,241.0,-1.0,-1.0,-1.0,-1.0,13892.0,48670.0
1990,2.0,44.0,7970.0,-1.0,-1.0,90.0,-1.0,2000.0,-1.0,10100.0,80.0,-1.0,6550.0,390.0,-1.0,6370.0,5115.0,25.0,4700.0,190.0,4200.0,-1.0,854.0,2397.0,5492.0,3804.0,7420.0,11877.0,14010.0,6400.0,13500.0,110.0,-1.0,-1.0,3450.0,-1.0,-1.0,685.0,-1.0,131.0,-1.0,5170.0,-1,795.0,328.0,49422.0,7900.0,-1.0,22800.0,2662.0,-1.0,7970.0,12000.0,-1.0,3144.0,388.0,600.0,-1.0,3700.0,-1.0,-1.0,68.0,10000.0,-1.0,1990.0,824.0,2950.0,13759.0,242.0,-1.0,-1.0,-1.0,-1.0,14042.0,49595.0
1991,2.0,40.0,8357.0,-1.0,-1.0,91.0,-1.0,2100.0,-1.0,7624.0,101.0,-1.0,6170.0,120.0,-1.0,5810.0,4494.0,20.0,4200.0,200.0,4800.0,-1.0,860.0,2464.0,6033.0,3710.0,7580.0,12274.0,12012.0,8198.0,13900.0,105.0,-1.0,-1.0,3500.0,-1.0,-1.0,100.0,-1.0,138.0,-1.0,5350.0,-1,655.0,394.0,48000.0,7700.0,-1.0,23900.0,2670.0,-1.0,8357.0,15000.0,-1.0,3323.0,400.0,670.0,-1.0,3845.0,-1.0,-1.0,65.0,10900.0,-1.0,2005.0,839.0,2850.0,14096.0,260.0,-1.0,-1.0,-1.0,-1.0,14328.0,51195.0
1992,2.0,41.0,8508.0,4652.0,315.0,92.0,-1.0,2200.0,5800.0,10800.0,90.0,12400.0,-1.0,247.0,1360.0,5580.0,4992.0,16.0,4022.0,210.0,4813.0,-1.0,814.0,2577.0,6846.0,3684.0,7904.0,18631.0,12290.0,9075.0,13500.0,110.0,7700.0,7000.0,3600.0,26000.0,3000.0,100.0,33.0,151.0,3000.0,21422.0,-1,650.0,589.0,-1.0,7500.0,2800.0,24100.0,2923.0,-1.0,10508.0,13646.0,-1.0,2977.0,546.0,700.0,-1.0,4973.0,-1.0,-1.0,66.0,10100.0,5000.0,2000.0,850.0,2870.0,14161.0,307.0,500.0,-1.0,2000.0,17000.0,13309.0,51925.0
1993,2.0,45.0,9131.0,3718.0,300.0,92.0,-1.0,2300.0,5600.0,8000.0,87.0,14500.0,-1.0,244.0,1150.0,5340.0,5100.0,16.0,4300.0,200.0,4879.0,-1.0,804.0,3536.0,6537.0,3824.0,8420.0,19805.0,12560.0,11050.0,14300.0,115.0,8000.0,4500.0,3700.0,26000.0,1500.0,100.0,31.0,153.0,2000.0,-1.0,-1,660.0,544.0,-1.0,7300.0,2400.0,23900.0,3000.0,150.0,11131.0,15000.0,-1.0,2906.0,607.0,710.0,2110.0,5000.0,1783.0,-1.0,67.0,12100.0,4500.0,2010.0,810.0,3020.0,14448.0,310.0,500.0,-1.0,2000.0,17000.0,13335.0,53365.0
1994,2.0,41.0,9079.0,4104.0,206.0,94.0,-1.0,2400.0,6200.0,8300.0,56.0,13500.0,-1.0,229.0,1050.0,4600.0,5061.0,16.0,4334.0,320.0,4717.0,-1.0,844.0,3538.0,6001.0,4124.0,8615.0,23000.0,13170.0,11264.0,14500.0,110.0,8100.0,5200.0,3900.0,15500.0,3500.0,100.0,39.0,153.0,2500.0,-1.0,-1,935.0,606.0,-1.0,7100.0,3000.0,23400.0,2920.0,152.0,12079.0,16000.0,-1.0,2834.0,613.0,701.0,2060.0,5100.0,1552.0,572.0,68.0,10400.0,4500.0,1950.0,720.0,3280.0,14793.0,690.0,750.0,-1.0,3000.0,16000.0,13824.0,55375.0
1995,2.0,50.0,9397.0,2188.0,315.0,94.0,-1.0,2516.0,6000.0,8600.0,60.0,12000.0,-1.0,239.0,975.0,4700.0,5150.0,13.0,4372.0,320.0,5500.0,-1.0,831.0,3538.0,4947.0,4141.0,8575.0,28000.0,13040.0,11596.0,13700.0,120.0,9000.0,3500.0,3900.0,18600.0,4500.0,100.0,30.0,253.0,1500.0,-1.0,-1,655.0,582.0,-1.0,6464.0,3200.0,22500.0,2956.0,159.0,13397.0,17000.0,-1.0,2861.0,409.0,637.0,2030.0,5200.0,3150.0,585.0,95.0,10600.0,4000.0,2040.0,730.0,3310.0,15569.0,790.0,1000.0,-1.0,4000.0,16000.0,14187.0,57355.0
