,Guyana,Azerbaijan,Tuvalu,Benin,Zimbabwe,Vietnam,Jersey,Brazil,South Korea,Luxembourg,Belarus,Tunisia,Myanmar,Andorra,Grenada,Cook Islands,Tokelau,Mauritius,Norfolk Island,British Virgin Islands,Niger,Djibouti,Seychelles,Niue,Fiji,Tanzania,Reunion,Chile,Gibraltar,Trinidad and Tobago,Greenland,Canada,Egypt,Sweden,Nigeria,Czechoslovakia,Bosnia and Herzegovina,Western Sahara,Romania,Afghanistan,Rwanda,Cocos Islands,Uzbekistan,Bahrain,United States,Kyrgyzstan,Maldives,Burundi,Iraq,Cyprus,Japan,Spain,Lithuania,Brunei,Morocco,Poland,Taiwan,Liberia,Monaco,Slovakia,Sint Maarten (Dutch part),Oman,Paraguay,Venezuela,Costa Rica,Ireland,Estonia,Italy,Sao Tome and Principe,Martinique,Nepal,Uruguay,Colombia,Democratic Republic of Congo,Kazakhstan,Pitcairn,French Guiana,Russia,Gambia,Swaziland,Austria,Hong Kong,Turkey,Guatemala,Honduras,Norway,Puerto Rico,Bolivia,Kuwait,United Arab Emirates,Ethiopia,Jamaica,Iceland,Madagascar,American Samoa,Sri Lanka,Ukraine,Yemen,Aruba,Qatar,Argentina,Denmark,Angola,Moldova,United Kingdom,Slovenia,Syria,Libya,Armenia,Cayman Islands,Latvia,Mexico,Dominican Republic,Montenegro,Palestine,Malawi,Mongolia,Sudan,New Caledonia,Cambodia,Cameroon,Belgium,Senegal,Ecuador,Northern Mariana Islands,Micronesia (country),Malaysia,Algeria,Bhutan,Haiti,Saint Lucia,Croatia,Mali,South Sudan,New Zealand,Panama,Turkmenistan,Papua New Guinea,Kiribati,Greece,Wallis and Futuna,Switzerland,French Polynesia,Lesotho,Bulgaria,Gabon,Turks and Caicos Islands,Barbados,Timor-Leste,Burkina Faso,Equatorial Guinea,Kenya,Somalia,Bermuda,Marshall Islands,Australia,Saudi Arabia,Falkland Islands,Hungary,Singapore,Mozambique,Montserrat,Nicaragua,Macedonia,Faeroe Islands,Guadeloupe,Cote d'Ivoire,Palau,Macao,Malta,Cuba,Czech Republic,Mauritania,Namibia,Anguilla,Iran,Lebanon,Belize,Isle of Man,Ghana,Germany,San Marino,Bangladesh,Peru,Bahamas,India,Tonga,Congo,Finland,Philippines,Liechtenstein,Pakistan,Christmas Island,El Salvador,France,South Africa,Samoa,Saint Helena,Guinea-Bissau,Solomon Islands,Guinea,Chad,Tajikistan,Mayotte,Serbia,Central African Republic,Sierra Leone,Guernsey,Jordan,Guam,Albania,Georgia,Togo,Uganda,Cape Verde,Saint Kitts and Nevis,Nauru,Israel,Vanuatu,North Korea,Thailand,Saint Vincent and the Grenadines,Netherlands,Comoros,Zanzibar,Botswana,Zambia,Suriname,China,Antigua and Barbuda,Dominica,Portugal,Laos,Curacao,Indonesia,Eritrea
1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
