,Lithuania
1961,-1.0
1962,-1.0
1963,-1.0
1964,-1.0
1965,-1.0
1966,-1.0
1967,-1.0
1968,-1.0
1969,-1.0
1970,-1.0
1971,-1.0
1972,-1.0
1973,-1.0
1974,-1.0
1975,-1.0
1976,-1.0
1977,-1.0
1978,-1.0
1979,-1.0
1980,-1.0
1981,-1.0
1982,-1.0
1983,-1.0
1984,-1.0
1985,-1.0
1986,-1.0
1987,-1.0
1988,-1.0
1989,-1.0
1990,-1.0
1991,-1.0
1992,2000.0
1993,4500.0
1994,5000.0
1995,6600.0
1996,7000.0
1997,6000.0
1998,5000.0
1999,4000.0
2000,5000.0
2001,5000.0
2002,6800.0
2003,5000.0
2004,5000.0
2005,3500.0
2006,2800.0
2007,3000.0
2008,2800.0
2009,2500.0
2010,2600.0
2011,2300.0
2012,2300.0
2013,2300.0
2014,2300.0
