,Kenya,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Philippines,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Iran (Islamic Republic of),Republic of Korea,Uzbekistan,Yemen,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Latvia,Haiti,Ukraine,Israel,Turkmenistan,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Sudan (former),Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Mauritius,Portugal,"China, mainland",Russian Federation,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Czechoslovakia,Serbia,Cuba,Armenia,Dominican Republic,South Sudan,Canada,Spain,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Japan,New Zealand,Bulgaria,United States of America,Bangladesh,Thailand,Kuwait,Nigeria,Czechia,Argentina,Timor-Leste,Paraguay,Georgia,India,Cabo Verde,Austria,Niger,Morocco,Bhutan,USSR,Mexico,Romania,Ecuador,Honduras,Jordan,Tunisia,Albania,Slovakia,France,Italy,Réunion,Sudan,Lithuania,Finland,Netherlands,Oman,Republic of Moldova,Turkey
1971,14.0,4766.0,-1.0,-1.0,7168.0,3740.0,1157.0,13651.0,250.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,15264.0,-1.0,-1.0,100.0,16600.0,720.0,-1.0,-1.0,80.0,-1.0,-1.0,10.0,-1.0,250.0,-1.0,-1.0,580.0,-1.0,4201.0,-1.0,214766.0,370.0,-1.0,177.0,420.0,527.0,-1.0,-1.0,1750.0,2400.0,-1.0,-1.0,-1.0,24.0,150.0,210000.0,-1.0,370.0,1140.0,4000.0,-1.0,2300.0,-1.0,10.0,-1.0,530.0,-1,-1.0,19800.0,1926.0,805.0,518.0,3.0,-1.0,100.0,4384.0,1497.0,13400.0,21904.0,-1.0,-1,-1.0,10390.0,-1.0,500.0,-1.0,30000.0,-1.0,-1.0,-1.0,220.0,-1.0,8200.0,6747.0,8900.0,722.0,80.0,6.0,830.0,-1.0,-1.0,5940.0,6868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12300.0
1972,14.0,5899.0,-1.0,-1.0,6979.0,4260.0,1505.0,13559.0,250.0,-1.0,-1.0,-1.0,-1.0,2700.0,-1.0,16220.0,-1.0,-1.0,100.0,16196.0,780.0,-1.0,-1.0,80.0,-1.0,-1.0,10.0,-1.0,430.0,-1.0,-1.0,600.0,-1.0,3781.0,-1.0,205899.0,370.0,-1.0,400.0,420.0,356.0,-1.0,-1.0,1900.0,2300.0,-1.0,-1.0,-1.0,18.0,150.0,200000.0,-1.0,400.0,1500.0,4100.0,-1.0,2400.0,-1.0,5.0,-1.0,470.0,-1,-1.0,23000.0,2307.0,625.0,560.0,3.0,-1.0,100.0,2972.0,2064.0,13000.0,23392.0,-1.0,-1,-1.0,10830.0,-1.0,491.0,-1.0,30000.0,-1.0,-1.0,-1.0,220.0,-1.0,8500.0,6635.0,7700.0,1028.0,82.0,3.0,830.0,-1.0,-1.0,4570.0,6498.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0
1973,14.0,5966.0,-1.0,-1.0,7384.0,4100.0,822.0,11531.0,250.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,16687.0,-1.0,-1.0,100.0,16246.0,820.0,-1.0,-1.0,100.0,-1.0,-1.0,10.0,-1.0,340.0,-1.0,-1.0,620.0,-1.0,5881.0,-1.0,235966.0,300.0,-1.0,400.0,420.0,338.0,-1.0,-1.0,2000.0,2000.0,-1.0,-1.0,-1.0,27.0,150.0,230000.0,-1.0,580.0,1555.0,4200.0,-1.0,2000.0,-1.0,7.0,-1.0,610.0,-1,-1.0,30700.0,2023.0,616.0,541.0,3.0,-1.0,100.0,2672.0,2792.0,12404.0,30736.0,-1.0,-1,-1.0,11300.0,-1.0,770.0,-1.0,33000.0,-1.0,-1.0,-1.0,220.0,-1.0,8800.0,6516.0,6600.0,704.0,84.0,13.0,830.0,-1.0,-1.0,5175.0,6388.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11800.0
1974,21.0,6021.0,-1.0,-1.0,6953.0,3660.0,1936.0,10263.0,250.0,-1.0,-1.0,-1.0,-1.0,3400.0,-1.0,18328.0,-1.0,-1.0,50.0,16288.0,900.0,800.0,-1.0,85.0,-1.0,-1.0,10.0,-1.0,210.0,-1.0,-1.0,650.0,-1.0,5461.0,-1.0,226021.0,340.0,-1.0,230.0,420.0,833.0,-1.0,-1.0,2000.0,2100.0,-1.0,-1.0,-1.0,41.0,150.0,220000.0,-1.0,630.0,1606.0,4300.0,-1.0,2100.0,-1.0,10.0,-1.0,750.0,-1,-1.0,38300.0,2000.0,289.0,856.0,3.0,-1.0,50.0,3299.0,3642.0,12553.0,33088.0,-1.0,-1,-1.0,12900.0,-1.0,473.0,-1.0,28100.0,-1.0,-1.0,-1.0,220.0,-1.0,8900.0,6906.0,6800.0,674.0,87.0,1.0,850.0,-1.0,-1.0,6102.0,6647.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14100.0
1975,21.0,8671.0,-1.0,-1.0,6872.0,4160.0,2033.0,5484.0,250.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,13561.0,-1.0,-1.0,30.0,16072.0,940.0,1600.0,-1.0,80.0,-1.0,-1.0,10.0,-1.0,270.0,-1.0,-1.0,650.0,-1.0,5040.0,-1.0,238671.0,400.0,-1.0,190.0,462.0,350.0,-1.0,-1.0,1888.0,1200.0,-1.0,-1.0,-1.0,20.0,150.0,230000.0,-1.0,600.0,1767.0,4400.0,-1.0,1968.0,-1.0,6.0,-1.0,870.0,-1,-1.0,36000.0,2072.0,410.0,753.0,3.0,-1.0,30.0,3649.0,4371.0,12719.0,21104.0,40.0,-1,-1.0,13240.0,-1.0,553.0,-1.0,39800.0,-1.0,-1.0,-1.0,230.0,-1.0,8900.0,6523.0,6700.0,663.0,89.0,40.0,860.0,-1.0,-1.0,5694.0,6283.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13100.0
1976,21.0,8560.0,-1.0,-1.0,6802.0,4420.0,1815.0,6154.0,250.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,13709.0,-1.0,-1.0,30.0,16185.0,980.0,2000.0,-1.0,120.0,-1.0,-1.0,10.0,-1.0,400.0,-1.0,-1.0,650.0,-1.0,5086.0,-1.0,238560.0,400.0,-1.0,210.0,504.0,350.0,-1.0,-1.0,1900.0,768.0,-1.0,-1.0,-1.0,20.0,150.0,230000.0,-1.0,620.0,2114.0,4500.0,-1.0,1899.0,-1.0,7.0,-1.0,450.0,-1,-1.0,36400.0,1825.0,276.0,656.0,3.0,-1.0,30.0,3592.0,3561.0,11932.0,19408.0,61.0,-1,-1.0,13550.0,-1.0,606.0,-1.0,35900.0,-1.0,-1.0,-1.0,230.0,-1.0,8500.0,5149.0,8800.0,905.0,91.0,6.0,780.0,-1.0,-1.0,5747.0,5868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0
1977,21.0,9243.0,-1.0,-1.0,7396.0,4910.0,1385.0,6351.0,250.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,19759.0,-1.0,-1.0,50.0,16100.0,1080.0,2600.0,-1.0,70.0,-1.0,-1.0,10.0,-1.0,404.0,-1.0,-1.0,650.0,-1.0,6455.0,-1.0,254243.0,370.0,-1.0,272.0,550.0,350.0,-1.0,-1.0,2000.0,742.0,-1.0,-1.0,-1.0,11.0,200.0,245000.0,-1.0,625.0,1357.0,4600.0,-1.0,2017.0,-1.0,1.0,-1.0,600.0,-1,-1.0,33400.0,2009.0,760.0,743.0,3.0,-1.0,50.0,3609.0,4209.0,12939.0,26848.0,79.0,-1,-1.0,14500.0,-1.0,691.0,-1.0,41500.0,-1.0,-1.0,-1.0,240.0,-1.0,10600.0,7213.0,8600.0,353.0,93.0,2.0,600.0,-1.0,-1.0,6113.0,5644.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14700.0
1978,21.0,9370.0,-1.0,-1.0,7572.0,5120.0,1400.0,7060.0,250.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,25416.0,-1.0,-1.0,98.0,16136.0,1150.0,3000.0,-1.0,71.0,-1.0,-1.0,10.0,-1.0,240.0,-1.0,-1.0,700.0,-1.0,5372.0,-1.0,284370.0,370.0,-1.0,238.0,600.0,400.0,-1.0,-1.0,2200.0,1005.0,-1.0,-1.0,-1.0,6.0,200.0,275000.0,-1.0,565.0,1721.0,4700.0,-1.0,2062.0,-1.0,3.0,-1.0,360.0,-1,-1.0,36100.0,4097.0,567.0,573.0,4.0,-1.0,98.0,3998.0,5261.0,12357.0,26688.0,61.0,-1,-1.0,17000.0,-1.0,674.0,-1.0,49200.0,-1.0,-1.0,-1.0,250.0,-1.0,13500.0,7722.0,7800.0,201.0,95.0,1.0,600.0,-1.0,-1.0,6716.0,5725.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14700.0
1979,21.0,10870.0,-1.0,-1.0,7520.0,4760.0,2416.0,8472.0,250.0,-1.0,-1.0,-1.0,-1.0,3300.0,-1.0,40663.0,-1.0,523.0,139.0,16640.0,1250.0,3600.0,-1.0,114.0,-1.0,-1.0,10.0,-1.0,250.0,-1.0,-1.0,793.0,-1.0,5372.0,-1.0,280870.0,370.0,-1.0,230.0,625.0,400.0,-1.0,-1.0,2700.0,823.0,-1.0,-1.0,-1.0,17.0,200.0,270000.0,-1.0,435.0,1886.0,4800.0,-1.0,1935.0,-1.0,4.0,-1.0,640.0,-1,-1.0,39800.0,4918.0,1000.0,772.0,4.0,-1.0,139.0,4038.0,5747.0,12505.0,26080.0,79.0,-1,-1.0,16820.0,-1.0,703.0,-1.0,59700.0,-1.0,-1.0,-1.0,250.0,-1.0,16400.0,8933.0,7600.0,234.0,110.0,1.0,750.0,-1.0,-1.0,6995.0,5772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13800.0
1980,21.0,12265.0,-1.0,-1.0,8648.0,4760.0,1670.0,12352.0,250.0,-1.0,-1.0,-1.0,-1.0,3300.0,-1.0,37080.0,-1.0,503.0,184.0,16553.0,1300.0,4000.0,-1.0,109.0,-1.0,-1.0,10.0,-1.0,380.0,-1.0,-1.0,725.0,-1.0,6906.0,-1.0,277265.0,370.0,-1.0,240.0,651.0,400.0,-1.0,-1.0,1500.0,757.0,-1.0,-1.0,-1.0,23.0,200.0,265000.0,-1.0,475.0,2016.0,5000.0,-1.0,1679.0,-1.0,15.0,-1.0,550.0,-1,-1.0,33800.0,5056.0,1875.0,752.0,6.0,-1.0,184.0,3534.0,6151.0,12437.0,26768.0,35.0,-1,-1.0,18700.0,-1.0,700.0,-1.0,59300.0,-1.0,-1.0,-1.0,300.0,-1.0,16300.0,6423.0,8000.0,399.0,97.0,6.0,1200.0,-1.0,-1.0,6923.0,5556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15200.0
1981,21.0,9342.0,-1.0,-1.0,8390.0,5519.0,1883.0,12651.0,250.0,-1.0,-1.0,6000.0,-1.0,3300.0,-1.0,26198.0,-1.0,483.0,151.0,17000.0,1300.0,4650.0,-1.0,120.0,-1.0,-1.0,10.0,-1.0,290.0,-1.0,-1.0,820.0,-1.0,4998.0,-1.0,299342.0,370.0,-1.0,300.0,646.0,500.0,-1.0,-1.0,1050.0,913.0,-1.0,-1.0,-1.0,24.0,200.0,290000.0,-1.0,665.0,1774.0,5500.0,-1.0,1812.0,-1.0,14.0,-1.0,500.0,-1,-1.0,32700.0,4905.0,1450.0,868.0,6.0,-1.0,151.0,3427.0,5342.0,12950.0,30640.0,25.0,-1,-1.0,14400.0,-1.0,700.0,-1.0,60500.0,-1.0,-1.0,-1.0,400.0,-1.0,16000.0,5939.0,10200.0,408.0,109.0,2.0,600.0,-1.0,-1.0,6700.0,5424.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14750.0
1982,21.0,9391.0,-1.0,-1.0,8013.0,6977.0,1507.0,18356.0,250.0,-1.0,-1.0,4748.0,-1.0,3300.0,-1.0,27873.0,-1.0,501.0,256.0,17000.0,1300.0,4330.0,-1.0,121.0,-1.0,-1.0,10.0,-1.0,310.0,-1.0,-1.0,850.0,-1.0,4670.0,-1.0,329391.0,370.0,-1.0,347.0,678.0,550.0,-1.0,-1.0,1075.0,1081.0,-1.0,-1.0,-1.0,29.0,200.0,320000.0,-1.0,455.0,2409.0,6000.0,-1.0,2011.0,-1.0,12.0,-1.0,700.0,-1,-1.0,35700.0,5429.0,1250.0,1014.0,7.0,-1.0,256.0,3990.0,6400.0,12942.0,31936.0,28.0,-1,-1.0,7200.0,-1.0,850.0,-1.0,63400.0,-1.0,-1.0,-1.0,500.0,-1.0,10000.0,5529.0,10200.0,543.0,100.0,2.0,600.0,-1.0,-1.0,6600.0,5257.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16035.0
1983,21.0,11115.0,-1.0,-1.0,7972.0,5867.0,2992.0,15646.0,250.0,-1.0,-1.0,5065.0,-1.0,3100.0,-1.0,33468.0,-1.0,551.0,220.0,17068.0,1300.0,3690.0,-1.0,123.0,-1.0,-1.0,10.0,-1.0,260.0,-1.0,-1.0,850.0,-1.0,5880.0,-1.0,331115.0,370.0,-1.0,401.0,700.0,600.0,-1.0,-1.0,1200.0,1411.0,-1.0,-1.0,-1.0,17.0,200.0,320000.0,-1.0,420.0,2411.0,6200.0,-1.0,2255.0,-1.0,14.0,-1.0,1100.0,-1,-1.0,40900.0,6374.0,850.0,1004.0,8.0,-1.0,220.0,4181.0,8400.0,12968.0,36608.0,30.0,-1,-1.0,8595.0,-1.0,900.0,-1.0,80700.0,-1.0,-1.0,-1.0,750.0,-1.0,11000.0,6883.0,8500.0,536.0,105.0,64.0,600.0,-1.0,-1.0,7300.0,5469.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15600.0
1984,21.0,10150.0,-1.0,-1.0,9760.0,5529.0,2900.0,11831.0,250.0,-1.0,-1.0,9000.0,-1.0,3000.0,-1.0,39734.0,-1.0,295.0,180.0,18480.0,1310.0,4930.0,-1.0,127.0,-1.0,-1.0,10.0,-1.0,290.0,-1.0,-1.0,850.0,-1.0,6300.0,-1.0,330150.0,370.0,-1.0,500.0,675.0,650.0,-1.0,-1.0,1417.0,1042.0,-1.0,-1.0,-1.0,26.0,200.0,320000.0,-1.0,382.0,2076.0,6500.0,-1.0,2226.0,-1.0,15.0,-1.0,1072.0,-1,-1.0,44936.0,6412.0,2000.0,1278.0,18.0,-1.0,180.0,4160.0,6000.0,13071.0,36640.0,25.0,-1,-1.0,9785.0,-1.0,900.0,-1.0,72600.0,-1.0,-1.0,-1.0,1000.0,-1.0,11500.0,8113.0,7700.0,526.0,90.0,178.0,1200.0,-1.0,-1.0,7400.0,5343.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14900.0
1985,21.0,9624.0,-1.0,-1.0,10615.0,6260.0,1528.0,11433.0,250.0,-1.0,-1.0,12000.0,-1.0,2700.0,-1.0,39015.0,-1.0,312.0,150.0,18715.0,1310.0,6660.0,-1.0,130.0,-1.0,-1.0,10.0,-1.0,350.0,-1.0,-1.0,850.0,-1.0,3360.0,-1.0,329624.0,370.0,-1.0,500.0,700.0,700.0,-1.0,-1.0,1540.0,1089.0,-1.0,-1.0,-1.0,36.0,250.0,320000.0,-1.0,336.0,2102.0,6800.0,-1.0,1979.0,-1.0,15.0,-1.0,485.0,-1,-1.0,41690.0,6471.0,2925.0,1547.0,10.0,-1.0,150.0,4168.0,6350.0,12705.0,27432.0,49.0,-1,-1.0,7286.0,-1.0,1062.0,-1.0,57700.0,-1.0,-1.0,-1.0,1200.0,-1.0,9400.0,5893.0,7800.0,515.0,80.0,106.0,1470.0,-1.0,-1.0,7000.0,4911.0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13900.0
