,Malaysia,Philippines,Colombia
1961,0.0,50232.0,0.0
1962,0.0,64278.0,0.0
1963,0.0,73461.0,0.0
1964,0.0,68781.0,0.0
1965,0.0,66795.0,0.0
1966,0.0,75265.0,0.0
1967,0.0,63230.0,0.0
1968,0.0,61344.0,0.0
1969,0.0,53327.0,0.0
1970,0.0,57862.0,0.0
1971,0.0,74618.0,0.0
1972,0.0,92643.0,0.0
1973,0.0,79462.0,0.0
1974,0.0,59750.0,0.0
1975,0.0,92190.0,0.0
1976,0.0,115470.0,0.0
1977,0.0,102810.0,0.0
1978,0.0,105940.0,0.0
1979,0.0,84490.0,0.0
1980,0.0,91410.0,0.0
1981,0.0,98370.0,0.0
1982,0.0,93070.0,0.0
1983,0.0,97030.0,0.0
1984,0.0,61420.0,0.0
1985,0.0,86000.0,0.0
1986,0.0,120790.0,0.0
1987,0.0,107200.0,0.0
1988,0.0,85420.0,0.0
1989,0.0,88660.0,0.0
1990,0.0,122420.0,0.0
1991,0.0,117925.0,0.0
1992,0.0,117804.0,0.0
1993,0.0,116695.0,0.0
1994,0.0,118372.0,0.0
1995,0.0,147909.0,0.0
1996,0.0,119367.0,0.0
1997,0.0,137078.0,0.0
1998,0.0,133064.0,0.0
1999,0.0,115890.0,0.0
2000,0.0,129947.0,0.0
2001,0.0,151461.0,0.0
2002,0.0,140685.0,0.0
2003,0.0,142942.0,0.0
2004,0.0,143662.0,0.0
2005,0.0,148246.0,0.0
2006,0.0,149579.0,0.0
2007,0.0,148529.0,0.0
2008,0.0,153197.0,0.0
2009,0.0,156676.0,0.0
2010,0.0,175103.0,0.0
2011,0.0,152446.0,0.0
2012,0.0,158624.0,21.0
2013,0.0,153532.0,21.0
2014,0.0,146963.0,21.0
