,Occupied Palestinian Territory,Sri Lanka
1961,0.0,13000.0
1962,0.0,12500.0
1963,0.0,12000.0
1964,0.0,11000.0
1965,0.0,20500.0
1966,0.0,15000.0
1967,0.0,19000.0
1968,0.0,17500.0
1969,0.0,18000.0
1970,0.0,17000.0
1971,0.0,17000.0
1972,0.0,21000.0
1973,0.0,18000.0
1974,0.0,22000.0
1975,0.0,22000.0
1976,0.0,24000.0
1977,0.0,21000.0
1978,0.0,20500.0
1979,0.0,22000.0
1980,0.0,22000.0
1981,0.0,22000.0
1982,0.0,22000.0
1983,0.0,24000.0
1984,0.0,9000.0
1985,0.0,14000.0
1986,0.0,16500.0
1987,0.0,17000.0
1988,0.0,19000.0
1989,0.0,22000.0
1990,0.0,19000.0
1991,0.0,15000.0
1992,0.0,19070.0
1993,0.0,17570.0
1994,0.0,20180.0
1995,796.0,20110.0
1996,639.0,17410.0
1997,534.0,17710.0
1998,272.0,13320.0
1999,589.0,20240.0
2000,639.0,16740.0
2001,416.0,16830.0
2002,311.0,14820.0
2003,497.0,14440.0
2004,684.0,14070.0
2005,700.0,10900.0
2006,685.0,11730.0
2007,721.0,10560.0
2008,541.0,9400.0
2009,168.0,9190.0
2010,416.0,9400.0
2011,416.0,10950.0
2012,449.0,8600.0
2013,487.0,8300.0
2014,487.0,8300.0
