,Brunei Darussalam,Congo
1961,-1.0,-1.0
1962,-1.0,-1.0
1963,-1.0,-1.0
1964,-1.0,-1.0
1965,-1.0,-1.0
1966,-1.0,-1.0
1967,-1.0,-1.0
1968,-1.0,-1.0
1969,-1.0,-1.0
1970,-1.0,-1.0
1971,-1.0,-1.0
1972,-1.0,-1.0
1973,-1.0,-1.0
1974,-1.0,-1.0
1975,-1.0,-1.0
1976,-1.0,-1.0
1977,-1.0,-1.0
1978,-1.0,-1.0
1979,-1.0,-1.0
1980,-1.0,-1.0
1981,-1.0,-1.0
1982,-1.0,-1.0
1983,-1.0,-1.0
1984,-1.0,-1.0
1985,-1.0,-1.0
1986,-1.0,-1.0
1987,-1.0,-1.0
1988,-1.0,-1.0
1989,-1.0,-1.0
1990,-1.0,3500.0
1991,-1.0,3600.0
1992,-1.0,3700.0
1993,-1.0,3800.0
1994,-1.0,3900.0
1995,-1.0,4000.0
1996,-1.0,4100.0
1997,-1.0,4200.0
1998,-1.0,4300.0
1999,-1.0,4400.0
2000,-1.0,4500.0
2001,-1.0,4600.0
2002,-1.0,4700.0
2003,-1.0,4800.0
2004,-1.0,5000.0
2005,-1.0,5200.0
2006,-1.0,5465.0
2007,-1.0,6352.0
2008,-1.0,6904.0
2009,-1.0,7472.0
2010,-1.0,8153.0
2011,-1.0,7700.0
2012,-1.0,8496.0
2013,-1.0,7835.0
2014,-1.0,7397.0
