,Kenya,Peru,Serbia and Montenegro,Serbia,Syrian Arab Republic,Viet Nam,Ethiopia,Denmark,Canada,Greece,Afghanistan,Zimbabwe,Bangladesh,Malawi,Cyprus,Spain,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Guatemala,Madagascar,Argentina,Ukraine,"China, mainland",India,Morocco,Ethiopia PDR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Yugoslav SFR,Slovakia,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Italy,Hungary,Australia,Togo,Lithuania,Poland,Netherlands,Russian Federation,Turkey
1973,900.0,-1.0,-1,-1.0,2460.0,700.0,-1.0,1177.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1854.0,0.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,104000.0,20000.0,70.0,75.0,-1.0,-1.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2957.0,-1.0,3400.0
1974,800.0,-1.0,-1,-1.0,5719.0,700.0,-1.0,1218.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,2340.0,0.0,9500.0,-1.0,-1.0,-1.0,-1.0,-1.0,104000.0,20000.0,70.0,85.0,-1.0,-1.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,4813.0,-1.0,9500.0
1975,500.0,-1.0,-1,-1.0,7644.0,700.0,-1.0,872.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,5444.0,0.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,103573.0,20000.0,70.0,95.0,-1.0,-1.0,9300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,3542.0,-1.0,13000.0
1976,200.0,-1.0,-1,-1.0,6243.0,700.0,-1.0,519.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,6388.0,0.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,149327.0,20000.0,70.0,110.0,-1.0,120.0,10200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2034.0,-1.0,15600.0
1977,500.0,-1.0,-1,-1.0,7020.0,500.0,-1.0,209.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,5710.0,0.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,179612.0,20000.0,100.0,139.0,-1.0,40.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,1361.0,-1.0,3500.0
1978,200.0,-1.0,-1,-1.0,3629.0,500.0,-1.0,716.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,5176.0,0.0,11000.0,-1.0,20.0,-1.0,-1.0,-1.0,201311.0,20000.0,100.0,140.0,-1.0,24.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2663.0,-1.0,1240.0
1979,300.0,-1.0,-1,-1.0,3600.0,500.0,-1.0,1097.0,-1.0,790.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,5187.0,0.0,6000.0,-1.0,20.0,-1.0,-1.0,-1.0,181786.0,20000.0,100.0,150.0,-1.0,26.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2496.0,-1.0,3500.0
1980,200.0,-1.0,-1,-1.0,4700.0,500.0,-1.0,1105.0,-1.0,628.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,4200.0,0.0,2500.0,-1.0,20.0,-1.0,-1.0,-1.0,179705.0,20000.0,100.0,1284.0,-1.0,30.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2874.0,-1.0,5750.0
1981,200.0,-1.0,-1,-1.0,5100.0,500.0,-1.0,1202.0,-1.0,402.0,-1.0,-1.0,-1,-1.0,10.0,-1.0,103.0,0.0,1500.0,-1.0,20.0,-1.0,-1.0,-1.0,96544.0,20000.0,100.0,1073.0,-1.0,80.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2186.0,-1.0,11000.0
1982,200.0,-1.0,-1,-1.0,3600.0,700.0,-1.0,864.0,-1.0,125.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,114.0,0.0,1000.0,-1.0,20.0,-1.0,-1.0,-1.0,151708.0,20000.0,200.0,1718.0,-1.0,68.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,1623.0,-1.0,9845.0
1983,200.0,-1.0,-1,-1.0,5200.0,700.0,-1.0,1017.0,-1.0,113.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,217.0,21.0,4000.0,-1.0,20.0,-1.0,-1.0,-1.0,181524.0,20000.0,600.0,1476.0,-1.0,50.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,21.0,-1,-1.0,-1,2069.0,-1.0,22000.0
1984,100.0,-1.0,-1,-1.0,4200.0,700.0,-1.0,1200.0,-1.0,292.0,-1.0,180.0,-1,-1.0,-1.0,-1.0,0.0,20.0,2500.0,-1.0,20.0,-1.0,-1.0,-1.0,122629.0,22000.0,200.0,1620.0,-1.0,30.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1,-1.0,20.0,-1,-1.0,-1,1627.0,-1.0,8500.0
1985,100.0,-1.0,-1,-1.0,5100.0,700.0,-1.0,1496.0,-1.0,360.0,-1.0,180.0,-1,-1.0,-1.0,3300.0,-1.0,25.0,3000.0,790.0,20.0,1650.0,-1.0,20000.0,87154.0,22000.0,140.0,1559.0,4000.0,4.0,16900.0,-1.0,20000.0,12500.0,3500.0,-1.0,15.0,-1.0,-1.0,-1,1500.0,25.0,-1,-1.0,-1,2198.0,-1.0,9200.0
1986,200.0,-1.0,-1,-1.0,5150.0,1600.0,-1.0,2000.0,-1.0,578.0,700.0,180.0,-1,100.0,2.0,2600.0,-1.0,1994.0,17000.0,790.0,20.0,1650.0,-1.0,23750.0,94482.0,22000.0,140.0,1975.0,4000.0,54.0,16900.0,-1.0,23750.0,12500.0,2100.0,-1.0,20.0,-1.0,-1.0,-1,1950.0,1994.0,-1,-1.0,-1,2000.0,-1.0,10055.0
1987,350.0,-1.0,-1,-1.0,5300.0,1600.0,-1.0,2120.0,-1.0,461.0,700.0,180.0,-1,100.0,2.0,2600.0,-1.0,2270.0,15000.0,790.0,20.0,1650.0,-1.0,23000.0,119549.0,22000.0,140.0,2579.0,4000.0,45.0,16900.0,-1.0,23000.0,12500.0,2100.0,-1.0,20.0,-1.0,-1.0,-1,2140.0,2270.0,-1,-1.0,-1,1430.0,-1.0,19000.0
1988,200.0,-1.0,-1,-1.0,9100.0,1300.0,-1.0,1500.0,-1.0,460.0,300.0,180.0,-1,100.0,2.0,3500.0,-1.0,2796.0,8000.0,790.0,20.0,3100.0,-1.0,23000.0,240627.0,22000.0,140.0,2779.0,4000.0,50.0,27500.0,-1.0,23000.0,12500.0,2100.0,-1.0,22.0,-1.0,-1.0,-1,2800.0,2796.0,-1,-1.0,-1,1580.0,-1.0,20494.0
1989,200.0,-1.0,-1,-1.0,9400.0,1500.0,-1.0,2000.0,-1.0,470.0,1100.0,180.0,-1,100.0,2.0,3500.0,-1.0,3259.0,26000.0,790.0,20.0,3100.0,-1.0,23000.0,170693.0,22000.0,140.0,2144.0,4000.0,50.0,27500.0,-1.0,23000.0,12500.0,2100.0,-1.0,23.0,-1.0,-1.0,-1,3300.0,3259.0,-1,-1.0,-1,649.0,-1.0,18200.0
1990,203.0,-1.0,-1,-1.0,9800.0,1300.0,-1.0,1300.0,-1.0,480.0,1300.0,183.0,-1,102.0,0.0,3031.0,0.0,1073.0,22000.0,920.0,22.0,3609.0,-1.0,18721.0,151116.0,22000.0,142.0,2474.0,3200.0,80.0,21500.0,-1.0,18721.0,12500.0,1998.0,-1.0,23.0,-1.0,-1.0,-1,1400.0,1073.0,-1,-1.0,-1,342.0,-1.0,16400.0
1991,250.0,-1.0,-1,-1.0,5123.0,1350.0,-1.0,350.0,-1.0,473.0,2128.0,240.0,-1,59.0,0.0,2400.0,0.0,1666.0,23000.0,420.0,29.0,3106.0,-1.0,23311.0,187092.0,22000.0,135.0,2875.0,6240.0,200.0,20000.0,-1.0,23311.0,12500.0,1999.0,-1.0,23.0,-1.0,-1.0,-1,2500.0,1666.0,-1,-1.0,-1,144.0,-1.0,17592.0
1992,300.0,-1.0,-1,-1.0,11802.0,1500.0,-1.0,100.0,-1.0,479.0,700.0,330.0,-1,62.0,0.0,2242.0,0.0,2137.0,25000.0,424.0,26.0,3200.0,1600.0,24000.0,332896.0,22000.0,140.0,2658.0,5800.0,32.0,20000.0,425.0,24000.0,12500.0,-1.0,-1.0,28.0,-1.0,-1.0,-1,2000.0,2137.0,-1,-1.0,-1,141.0,4000.0,32991.0
1993,190.0,-1.0,-1,-1.0,38585.0,1600.0,171.0,220.0,-1.0,486.0,2534.0,244.0,-1,64.0,0.0,3112.0,9000.0,3938.0,24446.0,429.0,19.0,3300.0,1800.0,25000.0,436351.0,22000.0,-1.0,2752.0,10000.0,100.0,20000.0,360.0,25000.0,12500.0,-1.0,-1.0,29.0,-1.0,-1.0,-1,2315.0,3938.0,-1,-1.0,-1,100.0,3418.0,36800.0
1994,231.0,-1.0,-1,-1.0,26932.0,1300.0,209.0,300.0,-1.0,492.0,3063.0,237.0,-1,67.0,0.0,2161.0,11134.0,5390.0,35000.0,440.0,20.0,3315.0,2000.0,26000.0,303196.0,22000.0,-1.0,2613.0,8800.0,100.0,24000.0,450.0,26000.0,12500.0,-1.0,-1.0,30.0,-1.0,-1.0,-1,2500.0,5390.0,-1,-1.0,-1,300.0,5000.0,41000.0
1995,250.0,-1.0,-1,-1.0,21951.0,1500.0,240.0,1200.0,-1.0,499.0,3000.0,200.0,-1,69.0,0.0,1557.0,8800.0,2585.0,30000.0,606.0,21.0,3336.0,2500.0,26203.0,300000.0,22000.0,-1.0,3240.0,8563.0,20.0,24000.0,450.0,26203.0,12500.0,-1.0,-1.0,35.0,-1.0,-1.0,-1,2780.0,2585.0,-1,-1.0,-1,1200.0,6000.0,36000.0
1996,220.0,-1.0,-1,-1.0,29413.0,2500.0,320.0,135.0,-1.0,505.0,7000.0,226.0,-1,71.0,0.0,1600.0,11679.0,984.0,25964.0,800.0,20.0,3438.0,2200.0,27000.0,324135.0,22000.0,-1.0,3893.0,8500.0,24.0,24500.0,500.0,27000.0,12500.0,-1.0,-1.0,40.0,-1.0,-1.0,-1,3300.0,984.0,-1,-1.0,-1,600.0,7000.0,35000.0
1997,190.0,-1.0,-1,-1.0,27374.0,2900.0,400.0,70.0,-1.0,512.0,4000.0,222.0,-1,73.0,0.0,1696.0,13000.0,1998.0,13174.0,802.0,20.0,3396.0,2000.0,28000.0,349064.0,22000.0,-1.0,3510.0,8627.0,25.0,25000.0,425.0,28000.0,12500.0,-1.0,-1.0,45.0,270.0,80.0,-1,3016.0,1998.0,-1,-1.0,-1,200.0,7378.0,34000.0
1998,209.0,-1.0,-1,-1.0,15918.0,4000.0,480.0,230.0,-1.0,519.0,12000.0,218.0,-1,80.0,0.0,1244.0,18000.0,3903.0,31828.0,871.0,20.0,3397.0,1800.0,28500.0,367455.0,22000.0,-1.0,3500.0,9000.0,25.0,25500.0,850.0,28500.0,12500.0,-1.0,-1.0,50.0,483.0,81.0,-1,3160.0,3903.0,-1,-1.0,-1,200.0,6000.0,43500.0
1999,204.0,-1.0,-1,-1.0,22745.0,3958.0,640.0,80.0,-1.0,526.0,11288.0,215.0,-1,100.0,0.0,1232.0,27000.0,3080.0,16476.0,934.0,21.0,3500.0,2080.0,29000.0,368365.0,22000.0,-1.0,3500.0,8315.0,25.0,26000.0,600.0,29000.0,12500.0,-1.0,-1.0,51.0,720.0,47.0,-1,2880.0,3080.0,-1,-1.0,-1,113.0,5500.0,41000.0
2000,180.0,-1.0,-1,-1.0,29390.0,4300.0,800.0,74.0,-1.0,533.0,4000.0,211.0,-1,80.0,0.0,1742.0,20000.0,894.0,35323.0,993.0,20.0,3300.0,2200.0,30000.0,344434.0,22000.0,-1.0,3500.0,10000.0,25.0,26000.0,675.0,30000.0,12500.0,-1.0,-1.0,55.0,630.0,192.0,-1,2872.0,894.0,-1,-1.0,-1,138.0,6000.0,36000.0
2001,200.0,-1.0,-1,-1.0,43300.0,4240.0,960.0,150.0,6100.0,540.0,1600.0,208.0,-1,79.0,0.0,1540.0,22000.0,463.0,28326.0,1046.0,20.0,3327.0,2000.0,29000.0,569271.0,22000.0,-1.0,3500.0,9514.0,25.0,26000.0,675.0,29000.0,12500.0,-1.0,-1.0,55.0,800.0,158.0,-1,2799.0,463.0,-1,-1.0,-1,120.0,6686.0,21000.0
2002,199.0,-1.0,-1,-1.0,139600.0,4334.0,1120.0,140.0,13400.0,547.0,3300.0,205.0,-1,79.0,0.0,1542.0,32000.0,300.0,31191.0,1094.0,20.0,3350.0,2000.0,30000.0,547028.0,22000.0,-1.0,3500.0,8622.0,27.0,26000.0,825.0,30000.0,12500.0,-1.0,-1.0,50.0,1000.0,210.0,-1,2806.0,300.0,-1,1500.0,-1,153.0,8000.0,22000.0
2003,198.0,1483.0,-1,-1.0,81300.0,4400.0,1280.0,129.0,14200.0,551.0,6800.0,201.0,-1,93.0,0.0,1843.0,34000.0,301.0,32000.0,1084.0,20.0,3332.0,2000.0,31000.0,476618.0,22000.0,-1.0,4746.0,8160.0,27.0,26000.0,500.0,31000.0,12500.0,-1.0,-1.0,50.0,1300.0,206.0,-1,2750.0,301.0,-1,1500.0,-1,164.0,12000.0,21500.0
2004,198.0,1734.0,-1,-1.0,59600.0,4578.0,1440.0,71.0,14100.0,551.0,15000.0,196.0,-1,98.0,0.0,1542.0,35000.0,533.0,28000.0,1090.0,20.0,3333.0,2000.0,31433.0,410573.0,22000.0,-1.0,4998.0,7110.0,27.0,26000.0,580.0,31433.0,12500.0,-1.0,260.0,50.0,1000.0,191.0,-1,2844.0,533.0,-1,1300.0,-1,150.0,15510.0,17530.0
2005,197.0,1267.0,-1,-1.0,33200.0,4734.0,1600.0,71.0,9300.0,551.0,16000.0,191.0,-1,106.0,0.0,1120.0,30000.0,442.0,25428.0,1107.0,20.0,3317.0,2000.0,32000.0,446931.0,22000.0,-1.0,6335.0,6665.0,30.0,26000.0,520.0,32000.0,12500.0,-1.0,159.0,50.0,2200.0,192.0,-1,2800.0,442.0,-1,1350.0,-1,165.0,5280.0,16500.0
2006,197.0,1300.0,-1,550.0,60100.0,4978.0,1760.0,85.0,14200.0,500.0,18017.0,186.0,-1,109.0,0.0,1683.0,23000.0,640.0,35000.0,1113.0,20.0,3350.0,3000.0,33000.0,473089.0,22000.0,-1.0,6670.0,8500.0,30.0,26000.0,500.0,33000.0,12500.0,-1.0,47.0,50.0,1100.0,283.0,-1,2850.0,640.0,-1,1500.0,-1,167.0,5840.0,12650.0
2007,180.0,1500.0,-1,468.0,69100.0,5180.0,1920.0,80.0,14400.0,560.0,28000.0,200.0,-1,115.0,0.0,1544.0,22000.0,1530.0,34063.0,1110.0,20.0,3400.0,2100.0,34000.0,565415.0,22000.0,-1.0,6412.0,5378.0,31.0,26000.0,520.0,34000.0,12500.0,-1.0,108.0,50.0,2700.0,331.0,-1,2900.0,1530.0,-1,1200.0,-1,160.0,4790.0,12291.0
2008,180.0,1400.0,-1,556.0,78100.0,5382.0,2400.0,85.0,12736.0,569.0,15000.0,174.0,-1,125.0,0.0,2272.0,32151.0,1540.0,35251.0,1105.0,20.0,3347.0,2900.0,35000.0,604281.0,22000.0,-1.0,5414.0,7228.0,30.0,26000.0,600.0,35000.0,12450.0,-1.0,127.0,50.0,2500.0,284.0,-1,2912.0,1540.0,-1,900.0,-1,194.0,9140.0,11880.0
2009,186.0,758.0,-1,586.0,60100.0,5589.0,2960.0,80.0,11400.0,577.0,16904.0,167.0,-1,125.0,0.0,2400.0,46000.0,1430.0,35546.0,1100.0,17.0,3340.0,4000.0,36000.0,573321.0,22515.0,-1.0,4957.0,8770.0,21.0,27116.0,580.0,36000.0,12923.0,-1.0,85.0,50.0,3100.0,260.0,-1,2802.0,1430.0,-1,700.0,-1,187.0,20100.0,11918.0
2010,186.0,743.0,-1,616.0,67300.0,5799.0,3225.0,85.0,12169.0,585.0,17000.0,161.0,-1,120.0,0.0,5277.0,40489.0,1517.0,36289.0,1092.0,15.0,3338.0,4800.0,37000.0,569600.0,23232.0,-1.0,5811.0,14641.0,23.0,28308.0,600.0,37000.0,12972.0,-1.0,603.0,50.0,2100.0,247.0,-1,2721.0,1517.0,-1,700.0,-1,194.0,15500.0,18135.0
2011,116.0,878.0,-1,645.0,71863.0,6010.0,3517.0,82.0,12753.0,593.0,18505.0,154.0,-1,120.0,0.0,8098.0,40620.0,654.0,37010.0,1077.0,13.0,3333.0,10500.0,37503.0,693534.0,23786.0,-1.0,5986.0,11495.0,25.0,29434.0,680.0,37503.0,13026.0,-1.0,458.0,50.0,1100.0,216.0,-1,2653.0,654.0,-1,2700.0,-1,189.0,16746.0,21154.0
2012,247.0,826.0,-1,720.0,80946.0,6500.0,3500.0,85.0,13036.0,660.0,18500.0,110.0,-1,133.0,0.0,4551.0,46000.0,453.0,45500.0,1100.0,11.0,3200.0,10500.0,37000.0,693700.0,26500.0,-1.0,5913.0,5441.0,25.0,31200.0,700.0,37000.0,15000.0,-1.0,140.0,50.0,1120.0,241.0,-1,2600.0,453.0,-1,5400.0,-1,185.0,9359.0,19443.0
2013,250.0,587.0,-1,691.0,64768.0,6500.0,3550.0,77.0,13119.0,576.0,18500.0,110.0,-1,136.0,0.0,2658.0,42370.0,443.0,38251.0,1100.0,11.0,3321.0,9500.0,37500.0,696692.0,24748.0,-1.0,6529.0,4666.0,25.0,31641.0,798.0,37500.0,13201.0,-1.0,200.0,50.0,1150.0,213.0,-1,2600.0,443.0,-1,5600.0,-1,181.0,9424.0,41660.0
2014,206.0,395.0,-1,700.0,55751.0,6641.0,3804.0,85.0,13199.0,568.0,20300.0,136.0,-1,139.0,0.0,2226.0,46000.0,434.0,38325.0,1000.0,10.0,3228.0,9500.0,37951.0,726228.0,22944.0,-1.0,5647.0,3169.0,25.0,30418.0,700.0,37951.0,13218.0,-1.0,114.0,50.0,1414.0,206.0,-1,2600.0,434.0,-1,6400.0,-1,176.0,32229.0,38250.0
