,Occupied Palestinian Territory
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,2.0
1997,2.0
1998,1.0
1999,4.0
2000,3.0
2001,4.0
2002,4.0
2003,4.0
2004,4.0
2005,4.0
2006,7.0
2007,6.0
2008,5.0
2009,5.0
2010,5.0
2011,5.0
2012,4.0
2013,4.0
2014,4.0
