,Israel,Slovenia,Switzerland,Italy,Australia & New Zealand,China,Canada,Spain,Tunisia,Australia,Republic of Korea,Cyprus,Chile,Japan,New Zealand,Bulgaria,Greece,United States of America,Iran (Islamic Republic of),Portugal,France,Montenegro,"China, mainland",Kyrgyzstan,Turkey
1976,-1.0,-1.0,-1.0,-1.0,49238.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49238.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,48361.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48361.0,-1.0,-1.0,-1.0,-1.0,-1.0,15200.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,43626.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43626.0,-1.0,-1.0,-1.0,-1.0,-1.0,54790.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,53484.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53484.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,33466.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,33442.0,-1.0,2838.0,73846.0,-1.0,-1.0,54286.0,-1.0,-1.0,-1.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,38943.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,38964.0,-1.0,15088.0,52167.0,-1.0,-1.0,53636.0,-1.0,-1.0,-1.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,26867.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,3333.0,-1.0,26826.0,-1.0,26680.0,101884.0,-1.0,-1.0,52667.0,-1.0,-1.0,-1.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,26990.0,-1.0,-1.0,-1.0,-1.0,33780.0,-1.0,-1.0,3182.0,-1.0,26948.0,-1.0,36931.0,97600.0,-1.0,-1.0,51667.0,-1.0,-1.0,-1.0,-1.0
1984,-1.0,-1.0,-1.0,122228.0,56042.0,-1.0,-1.0,-1.0,-1.0,30490.0,-1.0,-1.0,4000.0,-1.0,56204.0,-1.0,24304.0,106039.0,-1.0,-1.0,51000.0,-1.0,-1.0,-1.0,-1.0
1985,-1.0,-1.0,-1.0,79373.0,58305.0,-1.0,-1.0,-1.0,-1.0,43276.0,-1.0,1818.0,5000.0,99452.0,58401.0,-1.0,31270.0,102887.0,-1.0,-1.0,97857.0,-1.0,-1.0,-1.0,-1.0
1986,-1.0,-1.0,-1.0,117074.0,75643.0,-1.0,-1.0,-1.0,-1.0,30250.0,-1.0,1818.0,8533.0,90860.0,76436.0,-1.0,30647.0,96916.0,-1.0,-1.0,118947.0,-1.0,-1.0,-1.0,-1.0
1987,-1.0,-1.0,-1.0,163807.0,106523.0,-1.0,-1.0,8750.0,-1.0,31593.0,6369.0,1481.0,9833.0,79176.0,108510.0,-1.0,13144.0,95673.0,-1.0,6667.0,130833.0,-1.0,-1.0,-1.0,-1.0
1988,92308.0,-1.0,-1.0,177816.0,120572.0,-1.0,86923.0,10000.0,-1.0,65653.0,64588.0,1852.0,14309.0,99789.0,121661.0,-1.0,25889.0,103484.0,-1.0,8333.0,137143.0,-1.0,-1.0,-1.0,-1.0
1989,92308.0,-1.0,-1.0,180772.0,106928.0,-1.0,160714.0,25000.0,-1.0,85816.0,66667.0,2963.0,21761.0,85686.0,107381.0,-1.0,30164.0,124742.0,-1.0,37732.0,128158.0,-1.0,-1.0,-1.0,-1.0
1990,120709.0,-1.0,276842.0,197266.0,158227.0,-1.0,273333.0,30000.0,-1.0,84204.0,67159.0,4286.0,30424.0,132630.0,159927.0,-1.0,65743.0,119932.0,5000.0,29415.0,125502.0,-1.0,-1.0,-1.0,-1.0
1991,96296.0,-1.0,55000.0,175737.0,153956.0,-1.0,133333.0,88538.0,-1.0,89811.0,75887.0,5556.0,43790.0,87048.0,155541.0,-1.0,94500.0,91017.0,8000.0,49024.0,128348.0,-1.0,-1.0,-1.0,-1.0
1992,97890.0,-1.0,249000.0,203764.0,169275.0,-1.0,275000.0,170063.0,-1.0,99681.0,83549.0,23333.0,76577.0,108687.0,171136.0,-1.0,123931.0,160847.0,25000.0,95242.0,163584.0,-1.0,-1.0,40000.0,-1.0
1993,100000.0,-1.0,225000.0,189330.0,165241.0,-1.0,251563.0,127840.0,-1.0,139241.0,75491.0,60000.0,96939.0,110381.0,165969.0,-1.0,115368.0,159964.0,100000.0,95282.0,170735.0,-1.0,-1.0,40000.0,-1.0
1994,99429.0,-1.0,150000.0,177227.0,179767.0,-1.0,258333.0,129275.0,-1.0,121622.0,63387.0,88889.0,122898.0,124764.0,181534.0,-1.0,113924.0,135894.0,200000.0,83234.0,164729.0,-1.0,-1.0,40000.0,10000.0
1995,100434.0,-1.0,194000.0,169692.0,184331.0,-1.0,261538.0,111228.0,-1.0,93654.0,82884.0,100000.0,128996.0,121696.0,187821.0,-1.0,96786.0,138866.0,150000.0,81081.0,167698.0,-1.0,-1.0,40000.0,10286.0
1996,100000.0,-1.0,365789.0,192577.0,193335.0,-1.0,257143.0,134350.0,-1.0,103697.0,95970.0,86957.0,174699.0,117380.0,195876.0,-1.0,140911.0,123866.0,133333.0,95009.0,165989.0,-1.0,-1.0,20000.0,10000.0
1997,106766.0,-1.0,176111.0,145029.0,226853.0,-1.0,250000.0,124274.0,-1.0,70291.0,105746.0,99348.0,181582.0,112251.0,234047.0,-1.0,105685.0,148023.0,125000.0,92453.0,175932.0,-1.0,-1.0,30600.0,10000.0
1998,114286.0,-1.0,14118.0,153810.0,228196.0,-1.0,277778.0,103963.0,-1.0,87104.0,115748.0,97826.0,185232.0,112232.0,234283.0,-1.0,119153.0,154793.0,125000.0,45036.0,201626.0,-1.0,-1.0,12000.0,10000.0
1999,113787.0,-1.0,230000.0,190888.0,209273.0,-1.0,262500.0,123632.0,-1.0,99286.0,119241.0,84783.0,133503.0,132154.0,212745.0,-1.0,162465.0,114191.0,133333.0,97190.0,189922.0,-1.0,-1.0,30000.0,10000.0
2000,112680.0,-1.0,235294.0,194965.0,211887.0,121429.0,287500.0,159431.0,62500.0,125000.0,132805.0,87500.0,148553.0,150000.0,214739.0,-1.0,186802.0,143795.0,130176.0,91401.0,196030.0,-1.0,121429.0,60000.0,10000.0
2001,111765.0,-1.0,185570.0,180241.0,263844.0,126667.0,218963.0,145055.0,62258.0,128397.0,133333.0,100000.0,177632.0,146667.0,268022.0,-1.0,92379.0,118033.0,130293.0,77034.0,185633.0,-1.0,126667.0,50000.0,10000.0
2002,107407.0,-1.0,181439.0,193346.0,206113.0,128205.0,162500.0,145652.0,62500.0,134807.0,135000.0,90625.0,166234.0,143841.0,207772.0,-1.0,124858.0,130027.0,131250.0,111296.0,183154.0,-1.0,128205.0,58140.0,10000.0
2003,111389.0,277778.0,66429.0,165496.0,223331.0,131250.0,125000.0,142857.0,61766.0,140865.0,130951.0,25000.0,162338.0,139033.0,224953.0,8000.0,142061.0,119561.0,138889.0,104034.0,168297.0,-1.0,131250.0,87500.0,10000.0
2004,109787.0,239427.0,207778.0,205874.0,280874.0,132530.0,123077.0,126554.0,61427.0,172743.0,125000.0,38636.0,161111.0,111069.0,282605.0,8750.0,123404.0,133015.0,134615.0,102601.0,177700.0,-1.0,132530.0,80000.0,10000.0
2005,111071.0,264444.0,207778.0,193236.0,275545.0,129412.0,125000.0,91244.0,61069.0,183565.0,124022.0,70455.0,227273.0,142188.0,277390.0,8889.0,155778.0,185321.0,130435.0,101556.0,174131.0,-1.0,129412.0,75000.0,10000.0
2006,117532.0,160000.0,178333.0,203545.0,272188.0,132184.0,133333.0,155675.0,60693.0,182630.0,141644.0,75000.0,253731.0,131579.0,274487.0,5714.0,193778.0,131118.0,128735.0,92308.0,178131.0,-1.0,132184.0,100000.0,9965.0
2007,102861.0,192222.0,173889.0,191882.0,275975.0,133333.0,133333.0,121209.0,60304.0,216599.0,140444.0,105333.0,212644.0,135537.0,277082.0,16667.0,146042.0,130741.0,127598.0,124174.0,169091.0,-1.0,133333.0,100000.0,10161.0
2008,106025.0,166667.0,114444.0,211427.0,306292.0,130435.0,125000.0,149191.0,59902.0,212766.0,142937.0,125833.0,215189.0,161345.0,308065.0,-1.0,175625.0,122735.0,126316.0,105915.0,157748.0,200000.0,130435.0,100000.0,10850.0
2009,103772.0,229091.0,304444.0,181733.0,288932.0,131579.0,103648.0,213736.0,59488.0,185809.0,145430.0,250000.0,210185.0,147679.0,290802.0,62353.0,179310.0,136612.0,131860.0,174511.0,186923.0,200000.0,131579.0,100000.0,11845.0
2010,154399.0,267500.0,118333.0,168542.0,330319.0,127551.0,98049.0,214682.0,59053.0,187936.0,147922.0,175714.0,219261.0,115217.0,332659.0,20000.0,180298.0,174500.0,138889.0,150428.0,174873.0,200000.0,127551.0,100000.0,67430.0
2011,194463.0,217500.0,283684.0,173108.0,320491.0,125537.0,84967.0,193116.0,58497.0,214663.0,150415.0,312500.0,241497.0,116000.0,321622.0,78235.0,209552.0,201182.0,154902.0,147536.0,183334.0,200000.0,125537.0,100000.0,116384.0
2012,248393.0,174167.0,242105.0,158196.0,294098.0,132070.0,74664.0,133079.0,56667.0,220402.0,152908.0,337500.0,240082.0,133036.0,295054.0,79500.0,221096.0,197729.0,110345.0,121209.0,165115.0,200000.0,132070.0,100000.0,182583.0
2013,240506.0,155000.0,292105.0,176359.0,319328.0,126132.0,63928.0,139382.0,51830.0,226561.0,155400.0,242000.0,245143.0,140092.0,320704.0,65455.0,175921.0,158669.0,110000.0,100169.0,147560.0,200000.0,126132.0,100000.0,195195.0
2014,203488.0,162500.0,227727.0,204188.0,338400.0,126897.0,59104.0,142144.0,56915.0,232720.0,157893.0,250000.0,250204.0,146977.0,339994.0,74286.0,217652.0,155847.0,105494.0,80488.0,163588.0,200000.0,126897.0,100000.0,143285.0
