,Philippines,Israel,Egypt,Burundi,Colombia,Turkey
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1990,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1991,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1992,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1993,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1994,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1995,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1996,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1997,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1998,0.0,-1.0,-1.0,-1.0,0.0,-1.0
1999,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2000,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2001,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2002,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2003,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2004,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2005,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2006,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2007,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2008,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2009,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2010,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2011,0.0,-1.0,-1.0,-1.0,0.0,-1.0
2012,0.0,-1.0,0.0,0.0,0.0,0.0
2013,0.0,-1.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0
