,Belarus,Ukraine,Uzbekistan
1961,-1,-1.0,-1.0
1962,-1,-1.0,-1.0
1963,-1,-1.0,-1.0
1964,-1,-1.0,-1.0
1965,-1,-1.0,-1.0
1966,-1,-1.0,-1.0
1967,-1,-1.0,-1.0
1968,-1,-1.0,-1.0
1969,-1,-1.0,-1.0
1970,-1,-1.0,-1.0
1971,-1,-1.0,-1.0
1972,-1,-1.0,-1.0
1973,-1,-1.0,-1.0
1974,-1,-1.0,-1.0
1975,-1,-1.0,-1.0
1976,-1,-1.0,-1.0
1977,-1,-1.0,-1.0
1978,-1,-1.0,-1.0
1979,-1,-1.0,-1.0
1980,-1,-1.0,-1.0
1981,-1,-1.0,-1.0
1982,-1,-1.0,-1.0
1983,-1,-1.0,-1.0
1984,-1,-1.0,-1.0
1985,-1,-1.0,-1.0
1986,-1,-1.0,-1.0
1987,-1,-1.0,-1.0
1988,-1,-1.0,-1.0
1989,-1,-1.0,-1.0
1990,-1,-1.0,-1.0
1991,-1,-1.0,-1.0
1992,-1,-1.0,-1.0
1993,-1,-1.0,-1.0
1994,-1,-1.0,-1.0
1995,-1,-1.0,-1.0
1996,-1,-1.0,-1.0
1997,-1,-1.0,-1.0
1998,-1,-1.0,-1.0
1999,-1,-1.0,-1.0
2000,-1,-1.0,8500.0
2001,-1,-1.0,8500.0
2002,-1,-1.0,8500.0
2003,-1,500.0,9000.0
2004,-1,400.0,8500.0
2005,-1,700.0,9000.0
2006,-1,300.0,9985.0
2007,-1,300.0,10500.0
2008,-1,300.0,9500.0
2009,-1,500.0,9800.0
2010,-1,300.0,10200.0
2011,-1,400.0,10600.0
2012,-1,400.0,11041.0
2013,-1,500.0,11345.0
2014,-1,200.0,12145.0
