,Sri Lanka,Occupied Palestinian Territory
1961,13000.0,0.0
1962,12500.0,0.0
1963,12000.0,0.0
1964,11000.0,0.0
1965,20500.0,0.0
1966,15000.0,0.0
1967,19000.0,0.0
1968,17500.0,0.0
1969,18000.0,0.0
1970,17000.0,0.0
1971,17000.0,0.0
1972,21000.0,0.0
1973,18000.0,0.0
1974,22000.0,0.0
1975,22000.0,0.0
1976,24000.0,0.0
1977,21000.0,0.0
1978,20500.0,0.0
1979,22000.0,0.0
1980,22000.0,0.0
1981,22000.0,0.0
1982,22000.0,0.0
1983,24000.0,0.0
1984,9000.0,0.0
1985,14000.0,0.0
1986,16500.0,0.0
1987,17000.0,0.0
1988,19000.0,0.0
1989,22000.0,0.0
1990,19000.0,0.0
1991,15000.0,0.0
1992,19070.0,0.0
1993,17570.0,0.0
1994,20180.0,0.0
1995,20110.0,796.0
1996,17410.0,639.0
1997,17710.0,534.0
1998,13320.0,272.0
1999,20240.0,589.0
2000,16740.0,639.0
2001,16830.0,416.0
2002,14820.0,311.0
2003,14440.0,497.0
2004,14070.0,684.0
2005,10900.0,700.0
2006,11730.0,685.0
2007,10560.0,721.0
2008,9400.0,541.0
2009,9190.0,168.0
2010,9400.0,416.0
2011,10950.0,416.0
2012,8600.0,449.0
2013,8300.0,487.0
2014,8300.0,487.0
